slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
burketr01,Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,25,1,436,88,190,26,73,41,49,13,24,65,12,2,20,25
burksal01,Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,17,0,269,47,114,16,43,33,38,2,25,20,6,4,15,22
burksal01,Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,34,24,979,136,340,45,119,79,98,26,160,98,25,16,46,62
burksal01,Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,13,0,127,9,20,0,6,4,5,2,20,10,8,1,4,7
burtode02,Deonte Burton,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,32,0,240,33,82,8,27,8,12,4,24,9,6,8,9,31
butleji01,Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,10,10,361,74,157,17,45,48,61,16,36,43,24,10,14,18
butleji01,Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,55,55,1824,344,747,50,148,264,304,105,185,220,99,29,81,93
cabocbr01,Bruno Caboclo,SMALL FORWARD,23,MEMPHIS GRIZZLIES,34,19,800,96,225,48,130,42,50,42,116,50,14,33,38,81
caldejo01,José Calderón,POINT GUARD,37,DETROIT PISTONS,49,0,632,45,120,14,57,9,11,11,49,115,16,3,35,64
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,25,LOS ANGELES LAKERS,82,23,2035,325,756,151,435,137,158,48,190,110,73,13,65,137
canaais01,Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,19,15,503,51,129,25,72,15,20,5,44,62,12,0,29,46
canaais01,Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,1,95,11,29,7,19,4,4,0,5,19,2,1,4,4
canaais01,Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,4,0,31,2,6,2,5,0,0,1,3,3,0,1,2,2
