Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
James Harden,HOU,81,2981,6.9753086419753085,17.037037037037038,3.888888888888889,3.08641975308642,3.037037037037037,0.6419753086419753,0.20987654320987653,1.6172839506172842,1.469135802469136,2014-15,regular season
Andrew Wiggins,MIN,82,2969,2.073170731707317,4.634146341463413,1.5853658536585369,0.4878048780487805,0.8780487804878049,0.3780487804878049,0.32926829268292684,0.13414634146341464,0.35365853658536583,2014-15,regular season
Trevor Ariza,HOU,82,2930,2.548780487804878,6.219512195121951,1.4268292682926829,1.1219512195121952,0.975609756097561,0.32926829268292684,0.12195121951219512,0.5365853658536586,0.5853658536585366,2014-15,regular season
Damian Lillard,POR,82,2925,6.182926829268293,14.341463414634148,4.2073170731707314,1.9756097560975612,2.0853658536585367,0.573170731707317,1.548780487804878,0.5487804878048781,1.4268292682926829,2014-15,regular season
Chris Paul,LAC,82,2858,10.219512195121949,23.268292682926827,7.390243902439026,2.8292682926829267,4.0,0.7073170731707317,2.6829268292682933,0.9268292682926829,1.902439024390244,2014-15,regular season
John Wall,WAS,79,2837,10.025316455696204,22.68354430379747,7.3924050632911396,2.632911392405063,4.291139240506328,0.8481012658227848,2.2531645569620253,0.9113924050632912,1.7215189873417722,2014-15,regular season
DeAndre Jordan,LAC,82,2821,0.7439024390243902,1.7560975609756098,0.475609756097561,0.2682926829268293,0.23170731707317074,0.03658536585365853,0.2073170731707317,0.04878048780487805,0.2195121951219512,2014-15,regular season
Eric Bledsoe,PHX,81,2800,6.08641975308642,14.111111111111109,4.148148148148148,1.938271604938272,2.3950617283950617,0.7407407407407407,1.0123456790123455,0.6172839506172839,1.3209876543209875,2014-15,regular season
Joe Johnson,BKN,80,2791,3.65,8.4125,2.5375,1.1125,1.25,0.525,0.7625,0.5,0.6125,2014-15,regular season
Kyrie Irving,CLE,75,2730,5.1866666666666665,12.093333333333335,3.466666666666667,1.72,2.466666666666667,0.4933333333333334,0.5066666666666667,0.5866666666666667,1.1333333333333333,2014-15,regular season
Monta Ellis,DAL,80,2699,4.1125,9.875,2.4625,1.65,1.75,0.175,0.5375,0.3625,1.2875,2014-15,regular season
Tyreke Evans,NOP,79,2690,6.594936708860758,15.518987341772153,4.265822784810126,2.3291139240506333,2.4683544303797467,0.569620253164557,1.2278481012658229,0.7088607594936709,1.620253164556962,2014-15,regular season
Marc Gasol,MEM,81,2687,3.7901234567901234,8.481481481481481,2.888888888888889,0.9012345679012346,1.9135802469135803,0.4074074074074074,0.5679012345679012,0.34567901234567894,0.5555555555555556,2014-15,regular season
Pau Gasol,CHI,78,2681,2.6923076923076925,6.474358974358975,1.6025641025641026,1.0897435897435896,1.0897435897435896,0.28205128205128205,0.2307692307692308,0.2692307692307692,0.8205128205128205,2014-15,regular season
Ben McLemore,SAC,82,2670,1.7073170731707317,3.682926829268293,1.4390243902439024,0.2682926829268293,0.8780487804878049,0.15853658536585366,0.4024390243902439,0.13414634146341464,0.13414634146341464,2014-15,regular season
Ty Lawson,DEN,75,2666,9.6,22.2,6.6,3.0,3.826666666666666,1.2666666666666666,1.5066666666666666,0.8666666666666667,2.1333333333333333,2014-15,regular season
Goran Dragic,MIA,78,2640,4.487179487179487,10.410256410256409,3.051282051282051,1.4358974358974361,1.871794871794872,0.4615384615384616,0.7179487179487181,0.5512820512820513,0.8846153846153846,2014-15,regular season
Gordon Hayward,UTA,76,2618,4.118421052631579,9.776315789473683,2.5789473684210527,1.5394736842105263,1.75,0.34210526315789475,0.4868421052631579,0.5657894736842105,0.9736842105263158,2014-15,regular season
Stephen Curry,GSW,80,2613,7.7375,17.775,5.4375,2.3,3.5125,1.05,0.875,0.8625,1.4375,2014-15,regular season
Kentavious Caldwell-Pope,DET,82,2587,1.329268292682927,3.0853658536585367,0.902439024390244,0.4268292682926829,0.5609756097560976,0.17073170731707318,0.17073170731707318,0.12195121951219512,0.3048780487804878,2014-15,regular season
Markieff Morris,PHX,82,2581,2.341463414634146,5.451219512195122,1.5731707317073171,0.7682926829268293,1.0975609756097562,0.25609756097560976,0.2195121951219512,0.36585365853658536,0.4024390243902439,2014-15,regular season
Victor Oladipo,ORL,72,2573,4.097222222222221,9.347222222222221,2.9444444444444446,1.1527777777777777,1.3611111111111112,0.6111111111111112,0.9722222222222222,0.4305555555555556,0.7222222222222222,2014-15,regular season
Giannis Antetokounmpo,MIL,81,2541,2.555555555555556,6.012345679012347,1.6543209876543212,0.9012345679012346,1.0,0.2839506172839506,0.3703703703703704,0.3703703703703704,0.5308641975308642,2014-15,regular season
Kevin Love,CLE,75,2532,2.24,4.88,1.84,0.4,1.3066666666666666,0.3466666666666667,0.18666666666666668,0.12,0.28,2014-15,regular season
Nikola Vucevic,ORL,74,2529,1.9864864864864864,4.8243243243243255,1.135135135135135,0.8513513513513513,0.8108108108108109,0.17567567567567569,0.14864864864864866,0.25675675675675674,0.5945945945945946,2014-15,regular season
Jimmy Butler,CHI,65,2514,3.261538461538461,7.569230769230769,2.2153846153846155,1.0461538461538462,1.0307692307692309,0.3538461538461539,0.8307692307692308,0.38461538461538464,0.6615384615384615,2014-15,regular season
LaMarcus Aldridge,POR,71,2512,1.7464788732394363,4.338028169014085,0.9014084507042254,0.8450704225352113,0.5633802816901409,0.11267605633802814,0.22535211267605634,0.2112676056338028,0.6338028169014085,2014-15,regular season
