Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
James Harden,HOU,82,3125,7.463414634146342,17.780487804878053,4.609756097560974,2.8536585365853657,3.5853658536585367,0.7926829268292683,0.23170731707317074,1.2926829268292683,1.5609756097560976,2015-16,regular season
Gordon Hayward,UTA,80,2893,3.7,8.8,2.3,1.4,1.55,0.4375,0.3125,0.6875,0.7125,2015-16,regular season
Kemba Walker,CHA,81,2885,5.197530864197532,12.802469135802466,2.7901234567901234,2.4074074074074074,1.6666666666666667,0.5308641975308642,0.5925925925925926,0.4320987654320987,1.9753086419753083,2015-16,regular season
Trevor Ariza,HOU,81,2859,2.320987654320988,5.62962962962963,1.3333333333333333,0.9876543209876544,0.9629629629629628,0.2222222222222222,0.14814814814814814,0.34567901234567894,0.6419753086419753,2015-16,regular season
Marcus Morris,DET,80,2856,2.5125,5.9125,1.625,0.8875,0.95,0.375,0.3,0.3625,0.525,2015-16,regular season
Khris Middleton,MIL,79,2852,4.189873417721518,8.911392405063289,3.6582278481012658,0.5316455696202531,2.632911392405063,0.5822784810126582,0.4430379746835443,0.2405063291139241,0.2911392405063291,2015-16,regular season
Kyle Lowry,TOR,77,2851,6.415584415584417,14.805194805194805,4.441558441558442,1.974025974025974,2.8441558441558437,0.8181818181818182,0.7792207792207793,0.9090909090909092,1.0649350649350648,2015-16,regular season
Andrew Wiggins,MIN,81,2845,2.0246913580246915,4.580246913580247,1.4938271604938271,0.5308641975308642,0.654320987654321,0.25925925925925924,0.5802469135802469,0.16049382716049382,0.3703703703703704,2015-16,regular season
Giannis Antetokounmpo,MIL,80,2823,4.3125,9.425,3.5125,0.8,2.0125,0.8125,0.6875,0.2875,0.5125,2015-16,regular season
Paul George,IND,81,2819,4.061728395061729,9.012345679012343,3.1728395061728394,0.8888888888888888,2.1481481481481484,0.4567901234567901,0.5679012345679012,0.3703703703703704,0.5185185185185185,2015-16,regular season
Draymond Green,GSW,81,2808,7.382716049382715,17.419753086419753,4.728395061728395,2.654320987654321,3.3086419753086425,0.654320987654321,0.7654320987654321,0.8641975308641975,1.7901234567901234,2015-16,regular season
DeMar DeRozan,TOR,78,2804,4.038461538461538,10.128205128205126,1.9871794871794872,2.051282051282051,1.3333333333333333,0.35897435897435903,0.2948717948717949,0.6538461538461539,1.3974358974358974,2015-16,regular season
Kentavious Caldwell-Pope,DET,76,2789,1.8157894736842104,4.407894736842105,1.0394736842105263,0.7763157894736842,0.6842105263157895,0.2631578947368421,0.09210526315789473,0.3026315789473684,0.4736842105263158,2015-16,regular season
John Wall,WAS,77,2784,10.246753246753247,24.07792207792208,6.662337662337662,3.5844155844155843,3.805194805194805,1.155844155844156,1.7012987012987013,1.155844155844156,2.4285714285714284,2015-16,regular season
CJ McCollum,POR,80,2780,4.2625,9.9875,2.8,1.4625,1.7125,0.4625,0.625,0.5375,0.925,2015-16,regular season
Russell Westbrook,OKC,80,2750,10.425,22.85,8.425,2.0,5.0375,1.4375,1.95,0.6625,1.3375,2015-16,regular season
