Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
IND,82,21.097560975609763,49.634146341463406,13.658536585365852,7.439024390243902,7.512195121951219,1.7926829268292683,4.353658536585366,1.5853658536585369,5.853658536585367,2009-10,regular season
WAS,82,18.98780487804878,42.060975609756106,14.902439024390244,4.085365853658536,7.3414634146341475,2.3536585365853657,5.2073170731707314,1.304878048780488,2.7804878048780486,2009-10,regular season
DET,82,19.402439024390247,42.865853658536594,15.341463414634148,4.060975609756096,7.609756097560974,2.524390243902439,5.2073170731707314,1.548780487804878,2.5121951219512195,2009-10,regular season
CHA,82,20.219512195121947,45.26829268292683,15.390243902439025,4.829268292682927,10.097560975609756,1.4878048780487805,3.804878048780488,1.7195121951219512,3.109756097560976,2009-10,regular season
ATL,82,21.817073170731707,48.926829268292686,16.524390243902438,5.2926829268292686,8.841463414634148,2.3780487804878048,5.3048780487804885,2.414634146341464,2.8780487804878048,2009-10,regular season
BOS,82,23.536585365853657,52.487804878048784,18.121951219512194,5.414634146341463,10.609756097560977,2.451219512195122,5.060975609756096,1.304878048780488,4.109756097560975,2009-10,regular season
CLE,82,22.37804878048781,50.35365853658536,16.780487804878053,5.597560975609755,11.097560975609756,2.048780487804878,3.634146341463415,2.5,3.097560975609756,2009-10,regular season
NOH,82,22.292682926829272,50.35365853658536,16.524390243902438,5.7682926829268295,8.902439024390244,2.5,5.121951219512195,1.548780487804878,4.219512195121951,2009-10,regular season
CHI,82,20.780487804878053,45.35365853658536,16.98780487804878,3.7926829268292686,7.926829268292682,1.9146341463414636,7.146341463414633,1.5975609756097562,2.1951219512195124,2009-10,regular season
DAL,82,23.37804878048781,52.634146341463406,17.5,5.878048780487805,7.878048780487805,2.6341463414634148,6.987804878048781,1.5609756097560976,4.317073170731708,2009-10,regular season
DEN,82,20.963414634146346,47.04878048780488,15.841463414634148,5.121951219512195,9.414634146341463,1.8780487804878048,4.548780487804878,1.5731707317073171,3.5487804878048776,2009-10,regular season
GSW,82,22.42682926829268,51.47560975609756,15.80487804878049,6.621951219512195,8.987804878048781,1.7073170731707317,5.109756097560974,2.2439024390243905,4.378048780487805,2009-10,regular season
HOU,82,21.829268292682926,50.35365853658536,15.134146341463413,6.695121951219512,8.817073170731707,2.1219512195121952,4.1951219512195115,2.109756097560976,4.585365853658536,2009-10,regular season
LAC,82,22.07317073170732,48.9390243902439,17.280487804878053,4.7926829268292686,9.573170731707316,2.7804878048780486,4.926829268292684,1.3658536585365857,3.4268292682926833,2009-10,regular season
LAL,82,21.097560975609763,47.463414634146346,15.829268292682926,5.2682926829268295,8.585365853658537,3.182926829268293,4.060975609756096,1.5975609756097562,3.670731707317073,2009-10,regular season
MIA,82,18.87804878048781,42.634146341463406,14.0,4.878048780487805,6.1585365853658525,1.951219512195122,5.890243902439026,1.8536585365853657,3.024390243902439,2009-10,regular season
MIL,82,21.219512195121947,49.134146341463406,14.524390243902438,6.695121951219512,7.134146341463414,2.365853658536585,5.024390243902438,2.5,4.1951219512195115,2009-10,regular season
MIN,82,19.829268292682926,43.8170731707317,15.670731707317074,4.158536585365853,7.439024390243902,3.304878048780488,4.926829268292684,1.0731707317073171,3.0853658536585367,2009-10,regular season
NJN,82,18.780487804878053,41.609756097560975,14.731707317073171,4.048780487804878,7.7439024390243905,2.1219512195121952,4.865853658536587,1.6585365853658536,2.3902439024390243,2009-10,regular season
NYK,82,21.60975609756097,50.914634146341456,13.914634146341465,7.695121951219512,8.134146341463415,1.2926829268292683,4.487804878048781,1.9878048780487805,5.7073170731707314,2009-10,regular season
ORL,82,19.695121951219512,47.97560975609756,11.109756097560975,8.585365853658537,7.317073170731707,1.7560975609756098,2.0365853658536586,3.2073170731707314,5.378048780487805,2009-10,regular season
PHI,82,21.01219512195122,47.02439024390244,16.01219512195122,5.0,8.414634146341463,2.7439024390243905,4.853658536585366,1.6341463414634143,3.365853658536585,2009-10,regular season
PHX,82,23.31707317073171,53.76829268292683,16.182926829268293,7.134146341463414,9.46341463414634,2.6829268292682933,4.036585365853658,2.475609756097561,4.658536585365853,2009-10,regular season
POR,82,20.414634146341463,46.28048780487804,14.96341463414634,5.451219512195122,7.451219512195122,1.7682926829268293,5.743902439024391,2.1829268292682933,3.268292682926829,2009-10,regular season
SAC,82,20.47560975609756,46.134146341463406,15.292682926829267,5.182926829268292,7.768292682926829,2.158536585365854,5.365853658536587,1.7560975609756098,3.4268292682926833,2009-10,regular season
SAS,82,22.304878048780488,50.634146341463406,16.280487804878053,6.024390243902439,8.536585365853659,2.756097560975609,4.987804878048781,2.658536585365854,3.365853658536585,2009-10,regular season
OKC,82,19.98780487804878,44.47560975609756,15.48780487804878,4.5,7.7560975609756095,2.3902439024390243,5.341463414634147,1.170731707317073,3.3292682926829267,2009-10,regular season
TOR,82,22.0,49.3170731707317,16.682926829268293,5.317073170731708,8.451219512195122,2.6951219512195124,5.536585365853658,1.5365853658536586,3.7804878048780486,2009-10,regular season
UTA,82,26.670731707317074,57.84146341463415,22.170731707317074,4.5,12.792682926829267,2.6341463414634148,6.743902439024391,1.3658536585365857,3.1341463414634148,2009-10,regular season
MEM,82,18.817073170731707,41.24390243902439,15.207317073170733,3.609756097560976,9.121951219512193,2.463414634146341,3.6219512195121952,1.1219512195121952,2.4878048780487805,2009-10,regular season
