Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
DEN,82,22.414634146341466,51.80487804878049,15.439024390243905,6.975609756097561,9.914634146341463,2.5365853658536586,2.9878048780487805,2.3292682926829267,4.646341463414634,2013-14,regular season
MIL,82,21.463414634146346,48.35365853658536,16.036585365853654,5.426829268292684,8.682926829268293,2.865853658536585,4.487804878048781,1.2804878048780488,4.146341463414634,2013-14,regular season
PHI,82,21.84146341463415,49.878048780487795,15.646341463414636,6.195121951219512,10.341463414634148,2.548780487804878,2.756097560975609,1.4146341463414631,4.780487804878049,2013-14,regular season
PHX,82,19.060975609756103,45.80487804878049,11.378048780487804,7.682926829268293,7.134146341463414,1.6219512195121952,2.6219512195121952,2.658536585365854,5.024390243902438,2013-14,regular season
POR,82,23.21951219512195,54.109756097560975,15.548780487804878,7.670731707317072,7.902439024390245,2.1707317073170733,5.475609756097561,2.4390243902439024,5.2317073170731705,2013-14,regular season
TOR,82,21.182926829268293,49.621951219512205,13.926829268292684,7.2560975609756095,7.2560975609756095,3.1219512195121952,3.5487804878048776,2.451219512195122,4.8048780487804885,2013-14,regular season
UTA,82,20.29268292682927,46.609756097560975,14.268292682926829,6.024390243902439,7.890243902439026,2.5121951219512195,3.865853658536585,1.8414634146341464,4.182926829268292,2013-14,regular season
MEM,82,21.853658536585368,48.121951219512205,17.4390243902439,4.414634146341464,8.512195121951219,4.170731707317073,4.7560975609756095,1.4390243902439024,2.975609756097561,2013-14,regular season
WAS,82,23.28048780487805,53.65853658536585,16.182926829268293,7.097560975609755,9.25609756097561,2.3536585365853657,4.573170731707316,2.548780487804878,4.548780487804878,2013-14,regular season
DET,82,20.902439024390247,46.621951219512205,16.085365853658537,4.817073170731708,11.25609756097561,2.0853658536585367,2.7439024390243905,1.8902439024390243,2.9268292682926833,2013-14,regular season
CHA,82,21.682926829268293,48.865853658536594,16.182926829268293,5.5,8.109756097560973,3.0121951219512195,5.060975609756096,1.4024390243902438,4.097560975609756,2013-14,regular season
ATL,82,24.89024390243902,57.95121951219512,16.719512195121947,8.170731707317072,8.853658536585368,3.5365853658536586,4.329268292682927,2.7073170731707314,5.463414634146342,2013-14,regular season
BOS,82,21.048780487804876,48.073170731707314,15.073170731707316,5.975609756097561,7.6585365853658525,1.9146341463414636,5.5,1.9756097560975612,4.0,2013-14,regular season
CLE,82,21.195121951219512,48.24390243902439,15.341463414634148,5.853658536585367,7.304878048780488,3.3902439024390243,4.646341463414634,1.8902439024390243,3.963414634146341,2013-14,regular season
NOP,82,21.280487804878053,47.69512195121951,16.146341463414632,5.134146341463413,8.451219512195122,2.817073170731707,4.878048780487805,1.4146341463414631,3.719512195121952,2013-14,regular season
CHI,82,22.68292682926829,50.65853658536585,17.390243902439025,5.2926829268292686,8.804878048780488,2.2439024390243905,6.3414634146341475,1.5243902439024388,3.768292682926829,2013-14,regular season
DAL,82,23.59756097560976,54.76829268292683,16.024390243902438,7.573170731707318,8.951219512195124,3.1341463414634148,3.9390243902439024,1.9146341463414636,5.6585365853658525,2013-14,regular season
GSW,82,23.31707317073171,53.75609756097561,16.195121951219512,7.121951219512195,9.853658536585368,2.7926829268292686,3.5487804878048776,2.414634146341464,4.7073170731707314,2013-14,regular season
HOU,82,21.402439024390247,50.73170731707317,13.475609756097562,7.926829268292682,10.585365853658537,2.048780487804878,0.8414634146341463,2.3536585365853657,5.573170731707316,2013-14,regular season
LAC,82,24.585365853658534,56.32926829268293,17.426829268292682,7.1585365853658525,10.841463414634148,1.8170731707317076,4.7682926829268295,2.8414634146341466,4.317073170731708,2013-14,regular season
LAL,82,24.463414634146343,56.987804878048784,16.402439024390244,8.060975609756097,9.097560975609756,3.0731707317073167,4.2317073170731705,2.451219512195122,5.609756097560974,2013-14,regular season
MIA,82,22.52439024390244,52.1829268292683,15.390243902439025,7.134146341463414,10.048780487804876,1.804878048780488,3.5365853658536586,3.5,3.634146341463415,2013-14,regular season
MIN,82,23.939024390243897,54.012195121951216,17.804878048780488,6.134146341463414,11.03658536585366,2.6341463414634148,4.134146341463413,1.5243902439024388,4.609756097560974,2013-14,regular season
BKN,82,20.902439024390247,49.414634146341456,13.292682926829267,7.609756097560974,7.939024390243902,1.9390243902439024,3.414634146341464,2.256097560975609,5.353658536585366,2013-14,regular season
NYK,82,20.01219512195122,47.59756097560975,12.439024390243905,7.573170731707318,6.7317073170731705,1.4390243902439024,4.2682926829268295,1.9146341463414636,5.6585365853658525,2013-14,regular season
ORL,82,21.048780487804876,47.47560975609756,15.670731707317074,5.378048780487805,7.439024390243902,2.3902439024390243,5.8414634146341475,1.8902439024390243,3.4878048780487805,2013-14,regular season
IND,82,20.134146341463413,45.84146341463415,14.560975609756095,5.573170731707316,6.560975609756098,2.609756097560976,5.390243902439026,1.8292682926829267,3.7439024390243913,2013-14,regular season
SAC,82,18.865853658536587,42.29268292682927,14.30487804878049,4.560975609756096,8.0,2.365853658536585,3.9390243902439024,1.3536585365853657,3.2073170731707314,2013-14,regular season
SAS,82,25.170731707317074,57.76829268292683,17.743902439024392,7.426829268292682,10.170731707317072,3.1341463414634148,4.439024390243904,2.609756097560976,4.817073170731708,2013-14,regular season
OKC,82,21.87804878048781,49.54878048780488,16.085365853658537,5.7926829268292686,8.646341463414632,2.6219512195121952,4.817073170731708,1.8170731707317076,3.975609756097561,2013-14,regular season
