Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
ATL,82,25.609756097560968,60.121951219512205,16.70731707317073,8.902439024390244,10.426829268292684,2.256097560975609,4.024390243902439,2.426829268292683,6.475609756097561,2015-16,regular season
CHA,82,21.682926829268293,52.32926829268293,12.719512195121949,8.963414634146343,7.463414634146342,2.2804878048780486,2.975609756097561,2.048780487804878,6.914634146341463,2015-16,regular season
MEM,82,20.695121951219512,46.6829268292683,15.402439024390244,5.2926829268292686,7.804878048780488,3.0853658536585367,4.512195121951219,1.5731707317073171,3.719512195121952,2015-16,regular season
WAS,82,24.451219512195124,56.45121951219512,16.902439024390244,7.548780487804878,9.719512195121949,3.0609756097560976,4.121951219512195,2.304878048780488,5.243902439024391,2015-16,regular season
DET,82,19.439024390243897,46.121951219512205,12.19512195121951,7.2439024390243905,7.329268292682928,2.865853658536585,2.0,2.475609756097561,4.7682926829268295,2015-16,regular season
BOS,82,24.15853658536585,55.82926829268293,16.646341463414632,7.512195121951219,10.158536585365852,2.292682926829268,4.1951219512195115,2.0,5.512195121951219,2015-16,regular season
HOU,82,22.207317073170728,52.90243902439025,13.719512195121949,8.487804878048781,10.5,2.2195121951219514,1.0,3.304878048780488,5.182926829268292,2015-16,regular season
LAC,82,22.84146341463415,53.47560975609756,15.048780487804878,7.792682926829267,9.097560975609756,1.5,4.451219512195122,2.5975609756097557,5.1951219512195115,2015-16,regular season
LAL,82,18.02439024390244,41.76829268292683,12.30487804878049,5.719512195121951,6.804878048780488,2.1829268292682933,3.317073170731707,1.4024390243902438,4.317073170731708,2015-16,regular season
MIA,82,20.841463414634145,47.3170731707317,15.207317073170733,5.634146341463414,8.890243902439027,2.268292682926829,4.048780487804878,2.4390243902439024,3.1951219512195124,2015-16,regular season
MIL,82,23.109756097560968,51.036585365853654,18.29268292682927,4.817073170731708,11.353658536585364,3.256097560975609,3.682926829268293,1.5609756097560976,3.256097560975609,2015-16,regular season
MIN,82,23.36585365853659,51.487804878048784,18.60975609756097,4.7560975609756095,9.670731707317072,3.097560975609756,5.8414634146341475,1.304878048780488,3.4512195121951224,2015-16,regular season
BKN,82,22.304878048780488,50.073170731707314,16.841463414634145,5.463414634146342,8.670731707317072,4.280487804878049,3.890243902439024,2.1341463414634148,3.3292682926829267,2015-16,regular season
NYK,82,20.51219512195122,47.5,14.03658536585366,6.475609756097561,6.195121951219512,3.0609756097560976,4.780487804878049,1.902439024390244,4.573170731707316,2015-16,regular season
ORL,82,23.57317073170732,53.926829268292686,16.79268292682927,6.780487804878049,8.439024390243903,2.573170731707317,5.780487804878049,1.951219512195122,4.829268292682927,2015-16,regular season
IND,82,21.23170731707317,48.963414634146346,14.731707317073171,6.5,8.536585365853659,2.292682926829268,3.902439024390244,2.3902439024390243,4.109756097560975,2015-16,regular season
PHI,82,21.52439024390244,51.085365853658544,13.48780487804878,8.036585365853659,9.268292682926827,2.048780487804878,2.1707317073170733,2.3292682926829267,5.7073170731707314,2015-16,regular season
PHX,82,20.743902439024392,48.97560975609756,13.25609756097561,7.487804878048781,8.195121951219512,2.0975609756097557,2.963414634146341,2.024390243902439,5.463414634146342,2015-16,regular season
POR,82,21.317073170731707,50.76829268292683,13.182926829268293,8.134146341463415,7.804878048780488,2.0,3.3780487804878048,2.5609756097560976,5.573170731707316,2015-16,regular season
SAC,82,24.5,55.90243902439025,17.597560975609753,6.902439024390245,10.975609756097562,3.182926829268293,3.4390243902439024,2.048780487804878,4.853658536585366,2015-16,regular season
SAS,82,24.51219512195122,55.3170731707317,18.219512195121947,6.2926829268292686,9.01219512195122,3.3902439024390243,5.817073170731707,1.9390243902439024,4.353658536585366,2015-16,regular season
OKC,82,22.963414634146343,52.19512195121951,16.695121951219512,6.2682926829268295,9.670731707317072,2.963414634146341,4.060975609756096,2.451219512195122,3.817073170731707,2015-16,regular season
TOR,82,18.73170731707317,44.97560975609756,11.219512195121949,7.512195121951219,7.073170731707318,2.0,2.1463414634146343,2.7439024390243905,4.7682926829268295,2015-16,regular season
UTA,82,18.951219512195124,44.865853658536594,11.98780487804878,6.963414634146342,7.8414634146341475,1.9390243902439024,2.207317073170732,2.9390243902439024,4.024390243902439,2015-16,regular season
CLE,82,22.695121951219512,54.64634146341464,13.439024390243905,9.25609756097561,8.597560975609756,2.268292682926829,2.573170731707317,3.0731707317073167,6.182926829268293,2015-16,regular season
NOP,82,22.170731707317074,51.26829268292683,15.24390243902439,6.926829268292682,8.560975609756097,2.426829268292683,4.2560975609756095,1.7439024390243902,5.182926829268292,2015-16,regular season
CHI,82,22.804878048780488,52.634146341463406,15.780487804878051,7.024390243902439,8.24390243902439,2.451219512195122,5.085365853658536,1.8902439024390243,5.134146341463413,2015-16,regular season
DAL,82,22.10975609756097,52.573170731707314,13.75609756097561,8.353658536585368,7.890243902439026,1.8658536585365852,4.0,2.4024390243902443,5.951219512195122,2015-16,regular season
DEN,82,22.65853658536585,51.82926829268293,16.146341463414632,6.512195121951219,10.353658536585368,2.5121951219512195,3.2804878048780486,1.7195121951219512,4.7926829268292686,2015-16,regular season
GSW,82,28.939024390243897,68.40243902439025,18.414634146341463,10.524390243902438,12.170731707317074,2.4878048780487805,3.7560975609756095,2.9878048780487805,7.536585365853658,2015-16,regular season
