Name,GamesPlayed,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
BOS,81,43.444444444444436,33.67901234567901,2.6419753086419755,0.8806584362139918,21.66666666666667,0.6739631336405529,9.370370370370368,0.7582417582417582,0.6973647711511789,9.765432098765432,0.1728395061728395,0.07777777777777778,7.617283950617285,0.24377716317661,1.9753086419753083,0.1951219512195122,0.23187108325872874,0.5997732426303855,0.6929716399506781,0.7288693743139407,0.7734056987788331,0.7159090909090909,0.35687732342007433,0.22595419847328246,0.16931711880261927,0.19553072625698326,0.19434628975265014,2012-13,regular season
HOU,82,48.0609756097561,34.64634146341464,1.8414634146341464,0.8388888888888889,22.646341463414632,0.6999623068224652,10.158536585365852,0.7770522388059702,0.7221476510067114,13.414634146341465,0.4390243902439024,0.13138686131386862,8.402439024390244,0.32469368520263897,4.573170731707316,0.2605976372480889,0.2987924740241505,0.6041939711664482,0.6829268292682927,0.7852283770651117,0.7751842751842751,0.7829457364341085,0.3671013039117352,0.3130016051364366,0.2549800796812749,0.24171539961013644,0.3075060532687651,2012-13,regular season
LAC,82,45.85365853658536,32.26829268292683,2.5365853658536586,0.8776371308016878,20.719512195121947,0.6859103754541784,9.01219512195122,0.7360557768924303,0.700373455903476,13.585365853658535,0.4878048780487805,0.14285714285714285,9.182926829268293,0.3289646133682831,3.9146341463414633,0.3014084507042253,0.32021466905187834,0.5982142857142857,0.6900129701686122,0.7570498915401301,0.7430830039525692,0.7142857142857143,0.39130434782608703,0.3442367601246106,0.2678375411635565,0.29445234708392604,0.3149171270718232,2012-13,regular season
LAL,82,49.24390243902439,35.390243902439025,2.207317073170732,0.8457943925233645,23.609756097560968,0.6939068100358423,9.573170731707316,0.7519157088122606,0.7097026604068858,13.853658536585364,0.4878048780487805,0.11235955056179776,9.085365853658537,0.3279049295774648,4.280487804878049,0.2832929782082325,0.31216177727143263,0.6338672768878718,0.6602641056422569,0.7682363804247461,0.7704081632653061,0.6961538461538461,0.42857142857142855,0.3202797202797203,0.2292490118577075,0.2720264317180617,0.31419939577039274,2012-13,regular season
MIA,82,42.304878048780495,32.40243902439025,2.231707317073171,0.9014778325123152,20.280487804878053,0.6599206349206349,9.890243902439023,0.7474654377880184,0.6862690707350901,9.902439024390244,0.3902439024390244,0.1509433962264151,6.719512195121951,0.2665699080793421,2.7926829268292686,0.2195589645254075,0.2508038585209003,0.5564245810055866,0.6745406824146981,0.7543453070683661,0.7720685111989459,0.6901840490797546,0.3516483516483517,0.2717041800643087,0.19554455445544555,0.20532915360501566,0.2419753086419753,2012-13,regular season
MIL,82,48.487804878048784,33.20731707317073,2.4024390243902443,0.8755555555555555,22.47560975609756,0.6655832430480317,8.329268292682928,0.7250530785562632,0.6806790622473726,15.280487804878051,0.3170731707317073,0.11607142857142858,11.878048780487804,0.32938789313493405,3.0853658536585367,0.2502472799208704,0.3092237903225806,0.5857275254865616,0.6653846153846154,0.7604395604395604,0.7503949447077409,0.6731391585760518,0.42870285188592455,0.311639549436796,0.24183006535947715,0.2450592885375494,0.2658730158730159,2012-13,regular season
MIN,82,46.52439024390244,32.10975609756097,2.1951219512195124,0.8653846153846154,21.54878048780488,0.6978672985781991,8.365853658536585,0.7521929824561403,0.7122531939605109,14.414634146341465,0.24390243902439024,0.07575757575757576,10.621951219512193,0.3224731580895964,3.5487804878048776,0.295131845841785,0.3151613778139409,0.5860215053763441,0.6910344827586207,0.7808090310442145,0.7611940298507462,0.7272727272727273,0.3891170431211499,0.3083832335329341,0.2700661000944287,0.2894393741851369,0.3150684931506849,2012-13,regular season
DET,82,46.5609756097561,32.10975609756097,2.024390243902439,0.8512820512820513,21.085365853658537,0.6954947707160096,9.0,0.72,0.7026488180005697,14.451219512195122,0.5243902439024389,0.14429530201342286,11.439024390243905,0.3479228486646884,2.4878048780487805,0.2369337979094077,0.3210570705650829,0.618421052631579,0.7042857142857143,0.7568421052631579,0.7208672086720868,0.7177700348432056,0.4259429622815088,0.3643410852713178,0.2311377245508982,0.2491803278688525,0.20717131474103587,2012-13,regular season
CHA,82,45.40243902439025,31.451219512195124,2.292682926829268,0.8506787330316742,19.829268292682926,0.6721785861926416,9.329268292682928,0.7096474953617811,0.6837289104947097,13.951219512195122,0.2926829268292683,0.09375,10.926829268292684,0.3144963144963145,2.731707317073171,0.2571756601607348,0.3010752688172043,0.6054564533053515,0.6574225122349103,0.7573270808909731,0.7201086956521741,0.6871345029239766,0.3921182266009852,0.3307692307692308,0.22770398481973436,0.2682926829268293,0.21264367816091956,2012-13,regular season
PHI,82,45.85365853658536,32.68292682926829,2.3170731707317067,0.8333333333333334,21.42682926829268,0.6871333594055534,8.939024390243903,0.7541152263374485,0.7055823179370927,13.170731707317074,0.23170731707317074,0.09693877551020408,10.060975609756095,0.2871562826313957,2.8780487804878048,0.271889400921659,0.2836140069500134,0.5943396226415094,0.6829931972789116,0.7710472279260779,0.760989010989011,0.7336065573770492,0.405693950177936,0.2847938144329897,0.20893141945773525,0.2516778523489933,0.3161764705882353,2012-13,regular season
