Name,GamesPlayed,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,season,season_type
BOS,81,7574,96.53086419753086,30.901234567901234,62.58024691358025,0.4937857565594792,6.148148148148147,17.160493827160494,0.3582733812949641,0.3641025641025641,16.28395061728395,34.27160493827161,27.53086419753086,16.85185185185185,1.5925925925925926,0.5545345585297643,0.5883849088596863,0.9136546184738956,0.21520359188728905,0.5074302690931716,0.5031738659235175,0.5382020925110133,3.555555555555556,4.5555555555555545,0.07279542316038666,0.1111111111111111,0.006474820143884892,2012-13,regular season
HOU,82,7925,105.95121951219512,27.52439024390244,53.8170731707317,0.5114434624971674,10.573170731707316,28.89024390243902,0.3659772055719713,0.3669919389053882,19.182926829268293,28.609756097560968,26.439024390243897,26.670731707317074,5.048780487804878,0.5197164377492246,0.5677637947725073,0.8408304498269896,0.3493069890887644,0.5408096259056632,0.5245502801533471,0.5610953242056316,4.658536585365853,5.817073170731707,0.10808973487423522,0.25609756097560976,0.008864499788940482,2012-13,regular season
LAC,82,7477,101.09756097560977,30.89024390243902,59.21951219512196,0.5216227347611203,7.646341463414633,21.365853658536587,0.3578767123287671,0.360137851809305,16.378048780487806,34.34146341463415,27.439024390243897,20.121951219512194,2.817073170731707,0.5558626135017766,0.6066350710900474,0.8771929824561403,0.2651331719128329,0.5043201775686751,0.5256507263922519,0.5538482095136291,5.170731707317073,3.9146341463414633,0.06610378912685337,0.17073170731707318,0.007990867579908675,2012-13,regular season
LAL,82,7737,102.21951219512195,28.36585365853659,56.40243902439025,0.5029189189189189,8.71951219512195,24.57317073170732,0.3548387096774194,0.3583959899749373,19.329268292682926,29.36585365853659,27.36585365853659,22.463414634146343,3.695121951219512,0.5176268271711092,0.5695364238410596,0.8587412587412587,0.30346385542168675,0.5105274886535552,0.5118222891566265,0.5424540512555011,5.170731707317073,4.658536585365853,0.08259459459459459,0.17073170731707318,0.006947890818858561,2012-13,regular season
MIA,82,7481,102.8780487804878,29.646341463414632,55.35365853658536,0.5355805243445693,8.74390243902439,22.060975609756103,0.3963515754560531,0.3986636971046771,17.353658536585368,30.951219512195124,28.34146341463415,22.71951219512195,3.5121951219512195,0.5220074043603455,0.5505422993492408,0.8661087866108786,0.2849716446124764,0.522895092460882,0.5523787019533711,0.5825966850828729,3.0731707317073167,3.0853658536585367,0.05573914959242124,0.1097560975609756,0.0049751243781094535,2012-13,regular season
MIL,82,7825,98.8780487804878,30.81707317073171,67.40243902439025,0.4572100597068934,7.329268292682928,20.365853658536587,0.3598802395209581,0.3634161114476075,15.25609756097561,33.78048780487805,27.853658536585368,17.963414634146346,4.024390243902439,0.5480807281361298,0.6131031429836211,0.8169717138103162,0.23204112824788106,0.5214034634146342,0.47637904682506604,0.5074477406433846,6.536585365853658,4.2926829268292686,0.06368735299439117,0.12195121951219512,0.00598802395209581,2012-13,regular season
MIN,82,7634,95.75609756097559,30.402439024390244,63.74390243902439,0.4769466233020853,5.487804878048781,17.98780487804878,0.3050847457627119,0.3080082135523614,18.48780487804878,36.02439024390244,24.78048780487805,13.134146341463413,3.3292682926829267,0.5924588848776574,0.6532507739938079,0.7977777777777778,0.22008355714712027,0.5181962206256548,0.4726947179946285,0.5113310758009898,5.6585365853658525,5.7560975609756095,0.09030036349722594,0.1097560975609756,0.0061016949152542365,2012-13,regular season
DET,82,7487,94.85365853658536,30.07317073170732,63.39024390243903,0.4744132358599462,6.2560975609756095,17.5609756097561,0.35625,0.36152219873150093,15.939024390243905,30.902439024390244,29.243902439024392,17.378048780487806,1.3902439024390243,0.513787510137875,0.5720090293453725,0.925925925925926,0.216932811087677,0.5317120405384964,0.4874209099126242,0.517773931567035,6.121951219512195,5.597560975609755,0.08830319353597538,0.15853658536585366,0.009027777777777777,2012-13,regular season
CHA,82,7537,93.42682926829269,28.707317073170728,64.02439024390246,0.4483809523809524,5.719512195121951,17.0609756097561,0.3352394567548249,0.3401015228426396,18.853658536585368,29.121951219512194,28.292682926829272,14.378048780487804,2.7804878048780486,0.5072217502124045,0.547455295735901,0.837953091684435,0.21040758008723115,0.5110261168125566,0.4598435855015792,0.5035493624293413,4.219512195121951,6.780487804878049,0.1059047619047619,0.1097560975609756,0.006433166547533953,2012-13,regular season
PHI,82,7487,93.17073170731709,30.98780487804878,66.54878048780488,0.4656404617921936,6.317073170731707,17.536585365853654,0.3602225312934632,0.3642756680731365,12.24390243902439,34.73170731707317,27.243902439024392,16.20731707317073,2.7439024390243905,0.5604092876820149,0.614853195164076,0.8552123552123552,0.20855692530819436,0.4969991487194412,0.4812182741116751,0.5072367547470455,5.487804878048781,4.719512195121951,0.07091808686091257,0.1097560975609756,0.006258692628650904,2012-13,regular season
PHX,82,7707,95.1829268292683,31.47560975609756,66.60975609756098,0.472537532039546,5.853658536585367,17.743902439024392,0.32989690721649484,0.33310104529616724,14.670731707317074,35.512195121951216,27.439024390243897,14.597560975609756,2.963414634146341,0.5641224331654398,0.6148648648648649,0.83125,0.21035130837068086,0.5040563388453728,0.4772300130114212,0.5084690553745929,5.1951219512195115,4.975609756097562,0.074697912852435,0.15853658536585366,0.008934707903780068,2012-13,regular season
POR,82,7560,97.5,28.48780487804878,58.67073170731707,0.4855539388900437,8.207317073170731,23.21951219512195,0.3534663865546219,0.35683987274655354,15.902439024390244,30.121951219512194,26.853658536585368,20.085365853658537,4.536585365853658,0.528681506849315,0.5825471698113207,0.8157503714710252,0.2835443037974684,0.5150614757775119,0.4982129560685034,0.5336403684421306,5.2682926829268295,4.2317073170731705,0.07212637705258781,0.14634146341463414,0.0063025210084033615,2012-13,regular season
SAC,82,7736,100.23170731707316,30.195121951219512,63.69512195121951,0.4740570553321846,7.439024390243902,20.5,0.36287923854848303,0.3666465984346779,17.524390243902438,29.65853658536585,30.731707317073173,18.0,4.317073170731708,0.4911147011308562,0.5438282647584973,0.8065573770491803,0.24348203939745075,0.5035660779183021,0.4911645422943222,0.5292337411461687,5.853658536585367,6.2073170731707314,0.0974535707447827,0.0975609756097561,0.0047590719809637114,2012-13,regular season
