"","season_name","season_type","player_name","team_name","gamesplayed","atrimassists","shortmidrangeassists","longmidrangeassists","corner3assists","arc3assists","fg2pct","fg3pct","nonheavefg3pct","ftsmade","ptsassisted2s","ptsunassisted2s","ptsassisted3s","ptsunassisted3s","assisted2spct","assisted3spct","fg3apct","shotqualityavg","tspct","ptsputbacks","fg2ablocked","fg2apctblocked","fg3ablocked","fg3apctblocked","usage","defftreboundpct","def2ptreboundpct","def3ptreboundpct","offftreboundpct","off2ptreboundpct","off3ptreboundpct","defatrimreboundpct","defshortmidrangereboundpct","deflongmidrangereboundpct","defarc3reboundpct","defcorner3reboundpct","offatrimreboundpct","offshortmidrangereboundpct","offlongmidrangereboundpct","offarc3reboundpct","offcorner3reboundpct","position","height","weight","cluster"
"1811","2018-19","regular season","Bradley Beal","WAS",82,2.32926829268293,0.573170731707317,0.268292682926829,0.658536585365854,1.63414634146341,0.547877591312932,0.350671140939597,0.351260504201681,4.41463414634146,5.75609756097561,7.78048780487805,5.48780487804878,2.15853658536585,0.425225225225225,0.717703349282297,0.37041640770665,0.512881187810945,0.575699396599013,0.365853658536585,0.780487804878049,0.0631786771964462,0,0,28.2252416304805,0.0779220779220779,0.102878138395591,0.113328012769354,0.0117647058823529,0.0270444301352222,0.0329188002926116,0.0818713450292398,0.100340136054422,0.146814404432133,0.118661257606491,0.0936329588014981,0.0265339966832504,0.038,0.0155555555555556,0.0343183984747379,0.0283018867924528,"G",1.9812,207,2
"1812","2018-19","regular season","James Harden","HOU",78,4.30769230769231,0.346153846153846,0.0641025641025641,1.06410256410256,1.73076923076923,0.527809307604994,0.367704280155642,0.368062317429406,9.66666666666667,1.25641025641026,10.6666666666667,2.34615384615385,12.1923076923077,0.105376344086022,0.161375661375661,0.538501833420639,0.511238950131234,0.617170389837933,0.0769230769230769,1.24358974358974,0.110102156640182,0.192307692307692,0.014591439688716,40.353031465848,0.412587412587413,0.143130990415335,0.151569506726457,0.0136986301369863,0.0366197183098592,0.0152253349573691,0.132302405498282,0.143916913946588,0.161812297734628,0.1475,0.161904761904762,0.0324232081911263,0.050251256281407,0,0.0139687756778965,0.0188235294117647,"G",1.9812,220,2
"1813","2018-19","regular season","Kemba Walker","CHA",82,2.24390243902439,0.975609756097561,0.292682926829268,0.902439024390244,1.48780487804878,0.494228751311647,0.355677154582763,0.359223300970874,4.63414634146341,2.29268292682927,9.19512195121951,4.17073170731707,5.34146341463415,0.199575371549894,0.438461538461539,0.434085510688836,0.510742887029289,0.557559681697613,0.121951219512195,1.30487804878049,0.112277019937041,0.231707317073171,0.0259917920656635,31.4450166616177,0.0769230769230769,0.113744075829384,0.102906520031422,0.008,0.0213166144200627,0.0132708821233411,0.107438016528926,0.102996254681648,0.142011834319527,0.0976331360946746,0.123552123552124,0.027027027027027,0.0207253886010363,0.00958466453674121,0.0154440154440154,0.00408163265306122,"G",1.85928,172,2
"1814","2018-19","regular season","Tobias Harris","PHI",82,1.08536585365854,0.353658536585366,0.25609756097561,0.292682926829268,0.804878048780488,0.528455284552846,0.396946564885496,0.4,3.24390243902439,4.36585365853659,6.73170731707317,4.60975609756097,1.09756097560976,0.393406593406593,0.807692307692308,0.313397129186603,0.49660164,0.590093323761665,0.463414634146341,0.707317073170732,0.0673635307781649,0.0121951219512195,0.00254452926208651,22.9618548990277,0.315068493150685,0.18552036199095,0.181818181818182,0.0140845070422535,0.024390243902439,0.0255839822024472,0.149210903873745,0.201219512195122,0.221686746987952,0.16793893129771,0.247422680412371,0.0337738619676946,0.0236686390532544,0.0111856823266219,0.0200860832137733,0.0445544554455446,"F",2.10312,235,2
"1815","2018-19","regular season","Paul George","OKC",77,1.94805194805195,0.415584415584416,0.155844155844156,0.662337662337662,0.948051948051948,0.484247374562427,0.385733157199472,0.388219544846051,5.88311688311688,3.35064935064935,7.42857142857143,7.63636363636364,3.74025974025974,0.310843373493976,0.671232876712329,0.469021065675341,0.517481129132876,0.577272727272727,0.415584415584416,0.857142857142857,0.0770128354725788,0.142857142857143,0.0145310435931308,29.1954022988506,0.134831460674157,0.162060301507538,0.204237288135593,0.0308370044052863,0.0378027170702894,0.0280296784830998,0.145604395604396,0.162213740458015,0.197058823529412,0.21689497716895,0.167763157894737,0.0425240054869684,0.0336283185840708,0.0350877192982456,0.0240549828178694,0.0382352941176471,"F",2.10312,220,2
"1816","2018-19","regular season","Damian Lillard","POR",80,3.7,0.6375,0.4875,0.5625,1.5,0.498876404494382,0.368584758942457,0.3703125,5.85,2.15,8.95,4.0875,4.8,0.193693693693694,0.459915611814346,0.419439008480104,0.516988947024199,0.58061797752809,0.15,1.0625,0.0955056179775281,0.0625,0.00777604976671851,28.6049581927534,0.029585798816568,0.0897797854319593,0.1357421875,0.00793650793650794,0.017996400719856,0.032399299474606,0.0707350901525659,0.0778985507246377,0.130522088353414,0.126829268292683,0.17156862745098,0.0234857849196539,0.017353579175705,0.00755667506297229,0.027455121436114,0.0564102564102564,"G",1.92024,195,2
"1817","2018-19","regular season","PJ Tucker","HOU",82,0.353658536585366,0.134146341463415,0.0121951219512195,0.231707317073171,0.439024390243902,0.448529411764706,0.377260981912145,0.378238341968912,0.5,1.04878048780488,0.439024390243902,5.34146341463415,0,0.704918032786885,1,0.739961759082218,0.557196072796935,0.544384057971015,0.292682926829268,0.170731707317073,0.102941176470588,0.024390243902439,0.00516795865633075,9.64195979899498,0.256756756756757,0.113408939292862,0.139275766016713,0.00662251655629139,0.0371713508612874,0.0490683229813665,0.0924214417744917,0.117117117117117,0.143835616438356,0.130154639175258,0.162790697674419,0.0332167832167832,0.034324942791762,0.074468085106383,0.0487394957983193,0.05,"F",2.0933664,228.05,3
"1818","2018-19","regular season","Kevin Durant","GSW",78,2.14102564102564,0.564102564102564,0.666666666666667,0.538461538461538,1.94871794871795,0.586934673366834,0.353092783505155,0.353092783505155,5.74358974358974,7.05128205128205,7.92307692307692,3,2.26923076923077,0.470890410958904,0.569343065693431,0.280549530007231,0.483029202898551,0.627165841584158,0.128205128205128,0.474358974358974,0.0371859296482412,0.0128205128205128,0.00257731958762887,28.901185770751,0.209876543209877,0.140361821584529,0.169983416252073,0.00869565217391304,0.0141955835962145,0.0121317157712305,0.130859375,0.130193905817175,0.173441734417344,0.174234424498416,0.154440154440154,0.0150753768844221,0.0183908045977011,0.00919540229885058,0.0118406889128095,0.0133333333333333,"F-G",2.10312,240,2
"1819","2018-19","regular season","Ben Simmons","PHI",79,3.0379746835443,0.531645569620253,0.860759493670886,0.569620253164557,2.72151898734177,0.566037735849057,0,0,3.25316455696203,5.94936708860759,7.72151898734177,0,0,0.435185185185185,0,0.00625,0.530025625,0.579791847354727,0.936708860759494,0.721518987341772,0.059748427672956,0,0,21.955350269438,0.315436241610738,0.154645476772616,0.206043956043956,0.00549450549450549,0.0713809206137425,0.0610104861773117,0.120845921450151,0.156996587030717,0.208762886597938,0.213963963963964,0.17156862745098,0.0726950354609929,0.0705467372134039,0.0706521739130435,0.0611045828437133,0.0606060606060606,"F-G",2.1336,230,2
"1820","2018-19","regular season","DeMar DeRozan","SAS",77,1.55844155844156,1.02597402597403,1.03896103896104,0.701298701298701,1.84415584415584,0.49211356466877,0.155555555555556,0.159090909090909,4.75324675324675,4.46753246753247,11.7402597402597,0.272727272727273,0,0.275641025641026,1,0.0342726580350343,0.456528337147216,0.541032428855063,0.233766233766234,1.27272727272727,0.0772870662460568,0,0,28.2354903268846,0.246031746031746,0.138276553106212,0.153985507246377,0.00980392156862745,0.0259593679458239,0.00949796472184532,0.104283054003724,0.141652613827993,0.182561307901907,0.151111111111111,0.166666666666667,0.0347394540942928,0.0336605890603086,0.0121951219512195,0.0101010101010101,0.00699300699300699,"F-G",2.04216,221,2
