season_name,team_name,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2017-18,GS,58,24,.707,29-12,29-12,13-3,34-18,113.5,107.5,+6.0
2017-18,BOS,55,27,.671,27-14,28-13,12-4,33-19,104.0,100.4,+3.6
2017-18,PHI,52,30,.634,30-11,22-19,9-7,34-18,109.8,105.3,+4.5
2017-18,CLE,50,32,.610,29-12,21-20,11-5,35-17,110.9,109.9,+1.0
2017-18,POR,49,33,.598,28-13,21-20,9-7,31-21,105.6,103.0,+2.6
2017-18,OKC,48,34,.585,27-14,21-20,5-11,28-24,107.9,104.4,+3.5
2017-18,UTAH,48,34,.585,28-13,20-21,7-9,34-18,104.1,99.8,+4.3
2017-18,IND,48,34,.585,27-14,21-20,10-6,32-20,105.6,104.2,+1.4
2017-18,NO,48,34,.585,24-17,24-17,9-7,27-25,111.7,110.4,+1.3
2017-18,SA,47,35,.573,33-8,14-27,9-7,29-23,102.7,99.8,+2.9
2017-18,MIN,47,35,.573,30-11,17-24,10-6,34-18,109.5,107.3,+2.2
2017-18,DEN,46,36,.561,31-10,15-26,9-7,28-24,110.0,108.5,+1.5
2017-18,MIA,44,38,.537,26-15,18-23,11-5,31-21,103.4,102.9,+0.5
2017-18,MIL,44,38,.537,25-16,19-22,6-10,27-25,106.5,106.8,-0.3
2017-18,WSH,43,39,.524,23-18,20-21,8-8,28-24,106.6,106.0,+0.6
2018-19,MIL,60,22,.732,33-8,27-14,14-2,40-12,118.1,109.3,+8.8
2010-11,MIA,58,24,.707,30-11,28-13,13-3,38-14,102.1,94.6,+7.5
2010-11,LAL,57,25,.695,30-11,27-14,12-4,36-16,101.5,95.4,+6.1
2010-11,DAL,57,25,.695,29-12,28-13,8-8,35-17,100.2,96.0,+4.2
2010-11,BOS,56,26,.683,33-8,23-18,13-3,37-15,96.5,91.1,+5.4
2010-11,OKC,55,27,.671,30-11,25-16,13-3,33-19,104.8,101.0,+3.8
