pct,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct
0.634,7493,99.2073170731707,26.6585365853658,52.5365853658537,0.507428040854225,9.39024390243902,25.6463414634146,0.366143604374703,0.370245546461242,17.7195121951219,24.2195121951219,29.0975609756098,23.5243902439024,4.64634146341463,0.454254345837146,0.503549695740365,0.835064935064935,0.328029948525971,0.508873124018838,0.5211355482764,0.549513644960821,5.21951219512195,3.64634146341463,0.069405756731662,0.134146341463415,0.005230622919639,19.9512195121951,47.7439024390244,12.109756097561,7.84146341463415,6.97560975609756,2.01219512195122,3.1219512195122,2.32926829268293,5.51219512195122,47.5,34.7073170731707,2.52439024390244,0.877118644067797,23.6463414634146,0.719213649851632,8.53658536585366,0.767543859649123,0.731430155210643,12.7926829268293,0.292682926829268,0.077170418006431,8.10975609756097,0.318181818181818,4.39024390243903,0.284135753749013,0.305332141793268,0.600903614457831,0.706027060270603,0.792452830188679,0.773613193403298,0.751020408163265,0.427914110429448,0.335294117647059,0.20844327176781,0.270010672358591,0.324242424242424
0.61,7813,107.463414634146,30.2804878048781,59.8658536585366,0.505805663067835,8.07317073170732,20.7804878048781,0.38849765258216,0.392284866468843,22.6829268292683,30.0975609756098,30.4634146341463,21.1829268292683,3.03658536585366,0.496979460330246,0.533275713050994,0.874622356495468,0.257674277937396,0.528889755281958,0.525631332224407,0.569765938186991,4.1219512195122,5.82926829268293,0.09737217355877,0.121951219512195,0.005868544600939,22.109756097561,51.280487804878,15.0487804878049,7.0609756097561,10.109756097561,1.35365853658537,3.58536585365854,2.39024390243902,4.67073170731707,46.6341463414634,34.7439024390244,2.78048780487805,0.88715953307393,22.3658536585366,0.709752321981424,9.59756097560976,0.755278310940499,0.722835079977937,11.890243902439,0.365853658536585,0.109090909090909,8.89024390243903,0.303876615256357,2.63414634146341,0.219289340101523,0.279255319148936,0.58311345646438,0.695955369595537,0.805229936880072,0.771612903225806,0.707865168539326,0.390702274975272,0.314779270633397,0.196078431372549,0.213872832369942,0.232081911262799
0.585,7270,96.2926829268293,29.6707317073171,62.1463414634146,0.47743328100471,6.31707317073171,18.3292682926829,0.344644045242848,0.350948509485095,18,30.5365853658537,28.8048780487805,17.7073170731707,1.24390243902439,0.514591039868475,0.569868001820664,0.934362934362934,0.227761782088195,0.503281619439366,0.486437338990756,0.527736933565031,5.75609756097561,3.95121951219512,0.063579277864992,0.182926829268293,0.00998003992016,21.1707317073171,48.2439024390244,15.2682926829268,5.90243902439025,8.92682926829268,1.54878048780488,4.79268292682927,2.29268292682927,3.60975609756098,43.4268292682927,29.2682926829268,2.23170731707317,0.879807692307692,19.2926829268293,0.667510548523207,7.74390243902439,0.735805330243337,0.685740798020414,14.1585365853659,0.109756097560976,0.05421686746988,10.6829268292683,0.333079847908745,3.36585365853658,0.300981461286805,0.324781505497604,0.572851805728518,0.676096181046676,0.748837209302326,0.754590984974958,0.693181818181818,0.420584498094028,0.343825665859564,0.256637168141593,0.297906602254428,0.307432432432432
0.561,7562,99.9390243902439,35.2560975609756,71.6463414634146,0.492085106382979,3.76829268292683,11.2926829268293,0.333693304535637,0.344481605351171,18.1219512195122,34.4146341463415,36.0975609756098,10.2439024390244,1.0609756097561,0.48806641300588,0.541858678955453,0.906148867313916,0.136156447581238,0.496457492241762,0.493236288781062,0.531039398652151,7,6.10975609756097,0.085276595744681,0.048780487804878,0.004319654427646,20.6219512195122,44.6585365853659,17.2073170731707,3.41463414634146,9.30487804878049,3.23170731707317,4.67073170731707,1.18292682926829,2.23170731707317,45.8414634146341,31.1951219512195,2.39024390243902,0.867256637168142,20.4390243902439,0.674718196457327,8.36585365853659,0.724392819429778,0.688429029437482,14.6463414634146,0.378048780487805,0.11969111969112,12.5487804878049,0.348223350253807,1.71951219512195,0.252236135957066,0.33295389869095,0.581890812250333,0.675810473815461,0.748657357679914,0.73,0.708502024291498,0.449830890642616,0.362627197039778,0.24113475177305,0.245657568238213,0.269230769230769
0.537,7328,95,30.109756097561,61,0.493602558976409,6.1219512195122,17.4024390243902,0.351786965662228,0.35531914893617,16.4146341463415,33.1463414634146,27.0731707317073,16.2073170731707,2.15853658536585,0.550425273390036,0.596052631578947,0.882470119521912,0.221962980245761,0.495459733062754,0.501166588894074,0.537909128573401,4.60975609756097,4.17073170731707,0.068372650939624,0.073170731707317,0.004204625087596,21.9756097560976,49.3536585365854,16.5731707317073,5.40243902439025,7.29268292682927,2.09756097560976,7.18292682926829,2.26829268292683,3.13414634146341,43.3048780487805,32.1463414634146,2.08536585365854,0.904761904761905,22.1951219512195,0.699730872741253,7.86585365853659,0.768772348033373,0.716569767441861,11.1585365853659,0.146341463414634,0.064864864864865,8.60975609756097,0.282626100880705,2.40243902439024,0.224118316268487,0.26739709801599,0.606666666666667,0.696969696969697,0.763555555555555,0.768595041322314,0.769230769230769,0.430622009569378,0.288590604026846,0.196269982238011,0.202108963093146,0.264516129032258
0.524,7803,105.914634146341,30.4024390243902,62.5853658536586,0.485775526110678,8.25609756097561,22.4756097560976,0.367335865436788,0.370958904109589,20.3414634146341,33.6341463414634,27.1707317073171,21.0731707317073,3.69512195121951,0.553148816686723,0.606153846153846,0.850812407680945,0.264229390681004,0.506705158273381,0.503010752688172,0.546089034205231,5.31707317073171,5.25609756097561,0.08398285268901,0.219512195121951,0.00976668475312,23.8414634146341,54.7073170731707,16.8170731707317,7.02439024390244,8.45121951219512,3.09756097560976,5.26829268292683,2.02439024390244,5,47.0731707317073,33.0975609756098,2.34146341463415,0.884792626728111,23.9146341463415,0.680666435265533,6.84146341463415,0.747003994673768,0.694383259911894,13.9756097560976,0.207317073170732,0.089005235602094,10.3780487804878,0.328317901234568,3.39024390243902,0.252727272727273,0.305796316359697,0.578343949044586,0.666997026759167,0.767249310027599,0.762652705061082,0.696629213483146,0.409876543209877,0.333333333333333,0.244994110718492,0.25886524822695,0.232283464566929
0.512,7871,106.512195121951,28.9634146341463,58.3658536585366,0.496239030505641,9.32926829268293,25.3780487804878,0.367611725132148,0.3702807357212,20.5975609756098,27.5365853658537,30.390243902439,22.9756097560976,5.01219512195122,0.475368421052632,0.520036849378167,0.820915032679739,0.303043541575652,0.518037713659606,0.512960535896316,0.556944267312843,4.97560975609756,4.25609756097561,0.072921019640619,0.134146341463415,0.005285920230658,21.4268292682927,50.5121951219512,13.7682926829268,7.65853658536585,8.23170731707317,1.65853658536585,3.8780487804878,2.90243902439024,4.75609756097561,44.4024390243902,32.0609756097561,2.81707317073171,0.878326996197719,21.6341463414634,0.66144668158091,7.60975609756097,0.739336492890995,0.680090754395916,12.3414634146341,0.292682926829268,0.115942028985507,8.48780487804878,0.291457286432161,3.5609756097561,0.229019607843137,0.26972426972427,0.608552631578947,0.637178051511758,0.741163055872292,0.766778523489933,0.673387096774194,0.403846153846154,0.296657381615599,0.18876404494382,0.231177094379639,0.22289156626506
0.5,7620,99.0121951219512,32.7073170731707,67.4146341463415,0.485166425470333,5.40243902439025,15.2195121951219,0.354967948717949,0.359577922077922,17.390243902439,36.4146341463415,29,13.4634146341463,2.74390243902439,0.556674123788218,0.604698258404212,0.830699774266366,0.18417945690673,0.495144600799882,0.493875442739079,0.531974839470581,5.19512195121951,4.37804878048781,0.064942112879884,0.207317073170732,0.013621794871795,22.6951219512195,49.8780487804878,18.2073170731707,4.48780487804878,8.58536585365854,3.46341463414634,6.15853658536585,1.53658536585366,2.95121951219512,45.890243902439,33.780487804878,2.53658536585366,0.866666666666667,23.3780487804878,0.708425720620842,7.86585365853659,0.758823529411765,0.720472440944882,12.109756097561,0.182926829268293,0.07177033492823,10.0365853658537,0.292674253200569,1.89024390243902,0.205843293492696,0.274333800841515,0.609279609279609,0.704819277108434,0.788079470198676,0.761760242792109,0.74869109947644,0.41958041958042,0.314641744548287,0.194003527336861,0.210526315789474,0.191256830601093
0.488,7854,105.012195121951,30.7073170731707,60.8170731707317,0.504912773210347,8.54878048780488,22.6463414634146,0.377490576198169,0.38139281828074,17.9512195121951,32.5853658536585,28.8292682926829,22.280487804878,3.36585365853658,0.530579825258141,0.573636753971662,0.868758915834522,0.271332554061952,0.514362646627566,0.521551724137931,0.553975810602162,4.60975609756097,4.23170731707317,0.069580910366954,0.109756097560976,0.004846526655897,23.719512195122,54.8658536585366,16.2926829268293,7.42682926829268,9.14634146341463,2.64634146341463,4.5,2.41463414634146,5.01219512195122,44.6585365853659,32.6951219512195,2.4390243902439,0.881057268722467,21.8170731707317,0.672556390977444,8.4390243902439,0.728421052631579,0.687257617728532,11.9634146341463,0.329268292682927,0.112970711297071,8.17073170731707,0.275154004106776,3.46341463414634,0.256086564472498,0.269187358916478,0.553323029366306,0.656607700312175,0.760456273764259,0.741641337386018,0.698630136986301,0.357254290171607,0.293897882938979,0.20686175580222,0.254589963280294,0.26027397260274
0.476,7536,99.4268292682927,32.0609756097561,65.0487804878049,0.492875890513686,5.30487804878049,15.3170731707317,0.346337579617834,0.351132686084142,19.390243902439,37.7073170731707,26.4146341463415,13.7195121951219,2.19512195121951,0.588056295169266,0.637525773195876,0.862068965517241,0.190591805766313,0.495909337395278,0.497951441578149,0.541152263374486,4.97560975609756,4.92682926829268,0.075740532433446,0.085365853658537,0.005573248407643,23.4268292682927,51.4268292682927,18.8536585365854,4.57317073170732,9.57317073170732,2.9390243902439,6.34146341463415,1.07317073170732,3.5,44.0487804878049,30.890243902439,2.5609756097561,0.878661087866109,20.0853658536585,0.664648910411622,8.24390243902439,0.73879781420765,0.68464485705865,13.1585365853659,0.414634146341463,0.146551724137931,10.2560975609756,0.31664156626506,2.48780487804878,0.266666666666667,0.305466237942122,0.565721649484536,0.645006016847172,0.771526980482204,0.73071104387292,0.759842519685039,0.397796817625459,0.33131067961165,0.239408866995074,0.246753246753247,0.348993288590604
