Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Bradley Beal,WAS,82,3028,5.463414634146342,13.219512195121949,3.1707317073170733,2.292682926829268,2.3292682926829267,0.573170731707317,0.2682926829268293,0.6585365853658537,1.6341463414634143,2018-19,regular season
James Harden,HOU,78,2867,7.512820512820514,17.820512820512818,4.717948717948718,2.7948717948717947,4.307692307692308,0.3461538461538461,0.0641025641025641,1.064102564102564,1.7307692307692308,2018-19,regular season
Kemba Walker,CHA,82,2863,5.902439024390245,14.19512195121951,3.5121951219512195,2.3902439024390243,2.2439024390243905,0.975609756097561,0.2926829268292683,0.902439024390244,1.4878048780487805,2018-19,regular season
Tobias Harris,PHI,82,2848,2.7926829268292686,6.682926829268293,1.695121951219512,1.0975609756097562,1.0853658536585369,0.35365853658536583,0.25609756097560976,0.2926829268292683,0.8048780487804879,2018-19,regular season
Paul George,OKC,77,2841,4.12987012987013,9.870129870129869,2.51948051948052,1.6103896103896105,1.9480519480519483,0.4155844155844156,0.15584415584415584,0.6623376623376623,0.9480519480519479,2018-19,regular season
Damian Lillard,POR,80,2838,6.8875,15.8375,4.825,2.0625,3.7,0.6375,0.4875,0.5625,1.5,2018-19,regular season
PJ Tucker,HOU,82,2802,1.170731707317073,3.0121951219512195,0.5,0.6707317073170732,0.35365853658536583,0.13414634146341464,0.012195121951219513,0.23170731707317074,0.4390243902439024,2018-19,regular season
Kevin Durant,GSW,78,2702,5.858974358974358,14.205128205128204,3.3717948717948723,2.4871794871794872,2.141025641025641,0.5641025641025641,0.6666666666666666,0.5384615384615384,1.948717948717949,2018-19,regular season
Ben Simmons,PHI,79,2700,7.7215189873417724,18.734177215189874,4.4303797468354436,3.2911392405063293,3.0379746835443036,0.5316455696202531,0.8607594936708861,0.569620253164557,2.7215189873417716,2018-19,regular season
DeMar DeRozan,SAS,77,2688,6.1688311688311686,14.883116883116884,3.623376623376624,2.5454545454545454,1.5584415584415583,1.025974025974026,1.0389610389610389,0.7012987012987013,1.8441558441558439,2018-19,regular season
LaMarcus Aldridge,SAS,81,2687,2.3950617283950617,5.666666666666668,1.5185185185185186,0.8765432098765432,0.5555555555555556,0.3950617283950617,0.5679012345679012,0.1851851851851852,0.6913580246913579,2018-19,regular season
Steven Adams,OKC,80,2669,1.55,3.7125,0.9375,0.6125,0.625,0.1375,0.175,0.225,0.3875,2018-19,regular season
Klay Thompson,GSW,78,2652,2.3846153846153846,5.397435897435899,1.7564102564102564,0.6282051282051282,1.2307692307692308,0.20512820512820512,0.3205128205128205,0.3333333333333333,0.2948717948717949,2018-19,regular season
Andre Drummond,DET,79,2647,1.4177215189873418,3.4683544303797467,0.7848101265822784,0.6329113924050633,0.5063291139240507,0.20253164556962025,0.0759493670886076,0.1518987341772152,0.4810126582278481,2018-19,regular season
Aaron Gordon,ORL,78,2633,3.705128205128205,8.679487179487179,2.435897435897436,1.2692307692307692,1.5128205128205128,0.4358974358974359,0.4871794871794872,0.3205128205128205,0.9487179487179488,2018-19,regular season
Russell Westbrook,OKC,73,2630,10.73972602739726,25.50684931506849,6.712328767123287,4.027397260273974,4.904109589041097,1.3424657534246576,0.4657534246575342,1.3424657534246576,2.684931506849315,2018-19,regular season
Blake Griffin,DET,75,2622,5.36,13.426666666666666,2.6533333333333333,2.7066666666666666,1.6666666666666667,0.4933333333333334,0.4933333333333334,0.5866666666666667,2.12,2018-19,regular season
Buddy Hield,SAC,82,2615,2.5,5.890243902439026,1.6097560975609757,0.8902439024390244,1.2073170731707317,0.2682926829268293,0.13414634146341464,0.25609756097560976,0.6341463414634146,2018-19,regular season
Jerami Grant,OKC,80,2612,0.9875,2.55,0.4125,0.575,0.2625,0.0875,0.0625,0.1875,0.3875,2018-19,regular season
Justin Holiday,MEM,82,2607,1.7804878048780488,4.2073170731707314,1.1341463414634143,0.6463414634146342,0.8414634146341463,0.18292682926829268,0.1097560975609756,0.2195121951219512,0.4268292682926829,2018-19,regular season
Collin Sexton,CLE,82,2605,2.963414634146341,7.060975609756098,1.8292682926829267,1.1341463414634143,1.0609756097560976,0.5121951219512195,0.25609756097560976,0.2073170731707317,0.9268292682926829,2018-19,regular season
Donovan Mitchell,UTA,77,2598,4.181818181818182,10.454545454545457,2.090909090909091,2.090909090909091,1.5584415584415583,0.2987012987012987,0.23376623376623376,0.8831168831168831,1.207792207792208,2018-19,regular season
