Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
Kevin Durant,OKC,66,2546,7.9848484848484835,7.378787878787879,0.6212121212121212,0.3059701492537313,4.924242424242424,0.16804550155118925,1.8333333333333333,0.1936,0.1742868307932786,0.6060606060606061,0.015151515151515154,0.0076335877862595426,0.5606060606060606,0.023314429741650915,0.030303030303030307,0.0033112582781456954,0.017800091282519397,0.12035661218424965,0.1672185430463576,0.2176560121765601,0.20681818181818185,0.16216216216216214,0.02783300198807157,0.035856573705179286,0.00859106529209622,0.0019723865877712037,0.010309278350515464,2011-12,regular season
Pau Gasol,LAL,65,2430,10.430769230769233,7.615384615384616,0.5538461538461539,0.32432432432432434,5.184615384615385,0.18805803571428573,1.876923076923077,0.20032840722495893,0.1911703456892961,2.815384615384616,0.09230769230769233,0.04316546762589928,2.2461538461538457,0.08848484848484849,0.476923076923077,0.061386138613861385,0.08213457076566125,0.1529175050301811,0.21021611001964635,0.1959287531806616,0.18461538461538465,0.24675324675324675,0.12211981566820275,0.1032258064516129,0.04865771812080537,0.06285714285714286,0.05806451612903226,2011-12,regular season
Rudy Gay,MEM,65,2422,6.415384615384616,4.415384615384617,0.3692307692307693,0.17777777777777778,3.0153846153846158,0.1271076523994812,1.0307692307692309,0.12361623616236166,0.1261996161228407,2.0,0.030769230769230767,0.015384615384615384,1.646153846153846,0.05783783783783784,0.3230769230769231,0.0584958217270195,0.057944771389769126,0.109375,0.12688172043010754,0.1433628318584071,0.11910669975186106,0.1366906474820144,0.08905380333951762,0.039556962025316465,0.050073637702503684,0.046263345195729534,0.10256410256410256,2011-12,regular season
Blake Griffin,LAC,66,2392,10.863636363636363,7.5606060606060606,1.0606060606060606,0.4545454545454545,4.5151515151515165,0.19553805774278216,1.9848484848484849,0.22469982847341335,0.20360702420503085,3.303030303030303,0.09090909090909093,0.03296703296703297,2.1818181818181817,0.0997920997920998,1.0303030303030305,0.10381679389312977,0.10104861773117256,0.2039911308203991,0.16777041942604856,0.20967741935483872,0.2334096109839817,0.19863013698630136,0.133630289532294,0.11688311688311688,0.06403940886699508,0.07505518763796909,0.16831683168316833,2011-12,regular season
John Wall,WAS,66,2386,4.545454545454546,3.8181818181818175,0.07575757575757576,0.030674846625766868,2.712121212121212,0.11208515967438948,1.0303030303030305,0.1182608695652174,0.11372007366482505,0.7272727272727273,0.015151515151515154,0.006622516556291391,0.6666666666666666,0.02498580352072686,0.045454545454545456,0.006097560975609756,0.020861074123391037,0.08897485493230174,0.098,0.14482758620689656,0.1173469387755102,0.12021857923497267,0.026615969581749048,0.03745318352059925,0.014265335235378032,0.005813953488372093,0.006756756756756757,2011-12,regular season
Marc Gasol,MEM,65,2371,8.907692307692308,7.061538461538461,0.7846153846153846,0.3984375,4.953846153846154,0.2100456621004566,1.3230769230769228,0.15867158671586715,0.1966265060240964,1.8461538461538465,0.030769230769230767,0.015625,1.5384615384615383,0.05595970900951315,0.2769230769230769,0.050420168067226885,0.05503731343283582,0.2176591375770021,0.19658119658119655,0.21453287197231835,0.17391304347826084,0.11920529801324505,0.06589147286821706,0.04125412541254125,0.06165413533834585,0.05797101449275361,0.02469135802469136,2011-12,regular season
Brandon Jennings,MIL,66,2331,3.4242424242424243,2.6818181818181817,0.045454545454545456,0.023622047244094488,1.8333333333333333,0.07543640897755613,0.803030303030303,0.09851301115241637,0.08123249299719887,0.7424242424242424,0.0,0.0,0.6060606060606061,0.024009603841536616,0.13636363636363635,0.014469453376205787,0.02141608391608392,0.06239460370994941,0.0612691466083151,0.10108303249097472,0.09866666666666668,0.098159509202454,0.027257240204429302,0.033482142857142856,0.014263074484944531,0.01511879049676026,0.012578616352201259,2011-12,regular season
Russell Westbrook,OKC,66,2331,4.5606060606060606,3.1060606060606064,0.10606060606060606,0.059322033898305086,2.2424242424242418,0.08272778088317496,0.7575757575757576,0.09041591320072333,0.08454312553373185,1.4545454545454546,0.045454545454545456,0.024193548387096774,1.106060606060606,0.049059139784946235,0.30303030303030304,0.03787878787878788,0.046130952380952384,0.06847133757961782,0.07104795737122557,0.10869565217391304,0.09595959595959597,0.07643312101910828,0.04731182795698925,0.06236559139784946,0.03942652329749104,0.0378619153674833,0.0379746835443038,2011-12,regular season
Josh Smith,ATL,66,2329,9.575757575757576,7.5151515151515165,0.4848484848484849,0.29357798165137616,5.303030303030303,0.2177971375233354,1.7272727272727273,0.2298387096774193,0.22063718497384688,2.060606060606061,0.0,0.0,1.3787878787878791,0.060666666666666674,0.6818181818181818,0.08108108108108109,0.06618004866180048,0.18309859154929575,0.2313084112149533,0.2346041055718475,0.2296918767507003,0.2302158273381295,0.11353711790393012,0.04846938775510204,0.030769230769230767,0.07449856733524356,0.09223300970873786,2011-12,regular season
LeBron James,MIA,62,2326,7.935483870967742,6.419354838709677,0.7096774193548387,0.2993197278911565,3.887096774193549,0.15876152832674573,1.8225806451612905,0.1899159663865546,0.16753431140558447,1.5161290322580645,0.04838709677419355,0.02205882352941177,1.1290322580645162,0.04736129905277402,0.3387096774193548,0.04646017699115045,0.047150259067357515,0.10943396226415096,0.16993464052287582,0.19848771266540646,0.18888888888888888,0.19310344827586207,0.07482993197278913,0.045454545454545456,0.02907915993537965,0.04745762711864407,0.044585987261146494,2011-12,regular season
