Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
James Harden,HOU,82,3125,6334,28.97560975609756,5.780487804878049,11.707317073170733,0.49375,2.8780487804878048,8.012195121951219,0.3592085235920852,0.3597560975609756,8.78048780487805,2.0975609756097557,9.46341463414634,4.5,4.134146341463413,0.18143459915611812,0.1853448275862069,0.5211864406779662,0.4063079777365491,0.5033084829721363,0.5120593692022264,0.5916334661354582,0.24390243902439024,1.0853658536585369,0.09270833333333334,0.07317073170731707,0.0091324200913242,32.39085239085239,2015-16,regular season
Gordon Hayward,UTA,80,2893,5503,19.725,4.725,9.9,0.4772727272727273,1.7875,5.125,0.34878048780487797,0.3504901960784313,4.9125,3.025,6.425,4.3125,1.05,0.3201058201058201,0.328804347826087,0.8041958041958042,0.3410981697171381,0.5049632083333334,0.492928452579035,0.5490605427974948,0.25,0.7,0.0707070707070707,0.0125,0.0024390243902439024,25.54140127388535,2015-16,regular season
Kemba Walker,CHA,81,2885,5725,20.85185185185185,4.765432098765432,10.382716049382717,0.4589774078478002,2.2469135802469142,6.049382716049383,0.37142857142857133,0.3724279835390947,4.580246913580247,1.8024691358024687,7.728395061728394,4.0740740740740735,2.6666666666666665,0.189119170984456,0.19414893617021275,0.6043956043956044,0.3681442524417731,0.4997543740573153,0.4951164537941398,0.5490897269180754,0.2469135802469136,1.1728395061728396,0.11296076099881094,0.09876543209876544,0.0163265306122449,26.57156294089983,2015-16,regular season
Trevor Ariza,HOU,81,2859,5755,12.654320987654321,2.123456790123457,4.4444444444444455,0.4777777777777778,2.2839506172839505,6.1604938271604945,0.3707414829659319,0.3722334004024145,1.5555555555555556,2.54320987654321,1.7037037037037035,6.25925925925926,0.5925925925925926,0.5988372093023255,0.6358024691358025,0.9135135135135136,0.580908032596042,0.5679731038506418,0.5232828870779976,0.5487152034261242,0.2469135802469136,0.4691358024691358,0.10555555555555557,0.0,0.0,15.89041095890411,2015-16,regular season
Marcus Morris,DET,80,2856,5646,14.1375,3.775,8.0875,0.4667697063369397,1.35,3.725,0.3624161073825503,0.36610169491525424,2.5375,2.625,4.925,3.75,0.3,0.34768211920529807,0.3645833333333333,0.925925925925926,0.31534391534391537,0.4827368225292242,0.49100529100529106,0.5304878048780488,0.35,0.3625,0.04482225656877898,0.0,0.0,18.50828729281768,2015-16,regular season
Khris Middleton,MIL,79,2852,5644,18.151898734177216,4.6075949367088604,9.886075949367088,0.4660691421254802,1.810126582278481,4.582278481012659,0.39502762430939226,0.3972222222222222,3.5063291139240507,3.8227848101265822,5.39240506329114,4.860759493670887,0.569620253164557,0.4148351648351649,0.4182825484764543,0.8951048951048951,0.31671041119860016,0.4769376207199297,0.5061242344706912,0.5523882896764253,0.0759493670886076,0.4810126582278481,0.04865556978233035,0.05063291139240506,0.011049723756906077,22.775856648852567,2015-16,regular season
Kyle Lowry,TOR,77,2851,5484,21.220779220779217,3.8961038961038965,8.454545454545455,0.4608294930875576,2.7532467532467533,7.103896103896104,0.3875685557586837,0.3878676470588235,5.1688311688311686,1.324675324675325,6.467532467532468,5.649350649350651,2.6103896103896105,0.17,0.17114093959731544,0.6839622641509434,0.4565943238731219,0.4960523969722456,0.5158597662771286,0.5721288515406162,0.05194805194805195,0.8831168831168831,0.1044546850998464,0.07792207792207792,0.010968921389396707,26.09526844033774,2015-16,regular season
Andrew Wiggins,MIN,81,2845,5684,20.679012345679013,6.62962962962963,13.629629629629632,0.4864130434782609,0.7037037037037037,2.345679012345679,0.3,0.3015873015873016,5.308641975308642,6.765432098765433,6.493827160493827,1.7407407407407407,0.3703703703703704,0.5102420856610801,0.5393700787401575,0.8245614035087719,0.14683153013910355,0.5033255607115236,0.4810664605873261,0.5403225806451613,0.7160493827160493,1.0617283950617284,0.07789855072463768,0.02469135802469136,0.010526315789473684,27.058272144977344,2015-16,regular season
Giannis Antetokounmpo,MIL,80,2823,5532,16.875,6.0625,11.3,0.5365044247787609,0.35,1.3625,0.2568807339449541,0.26666666666666666,3.7,5.875,6.25,0.8625,0.1875,0.4845360824742268,0.5280898876404494,0.8214285714285714,0.10760118460019744,0.5638742303872889,0.5202369200394866,0.5634390651085142,1.0,0.7625,0.06747787610619467,0.0125,0.009174311926605505,22.478017585931255,2015-16,regular season
Paul George,IND,81,2819,5726,23.135802469135804,4.876543209876544,10.901234567901234,0.44733861834654587,2.592592592592593,6.987654320987653,0.3710247349823322,0.3716814159292036,5.604938271604938,3.111111111111111,6.641975308641976,5.518518518518518,2.2592592592592595,0.3189873417721519,0.33157894736842103,0.7095238095238096,0.3906142167011733,0.4966607489597781,0.4899930986887509,0.5511764705882353,0.3703703703703704,0.8765432098765432,0.08040770101925254,0.07407407407407407,0.01060070671378092,30.069930069930077,2015-16,regular season
