Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Monta Ellis,GSW,80,3227,5.625,13.2125,3.6625,1.9625,2.1375,0.4625,1.0625,0.7125,1.25,2010-11,regular season
LaMarcus Aldridge,POR,81,3212,2.098765432098765,5.074074074074074,1.2222222222222223,0.8765432098765432,0.7283950617283951,0.1728395061728395,0.32098765432098764,0.16049382716049382,0.7160493827160493,2010-11,regular season
Luol Deng,CHI,82,3208,2.804878048780488,6.304878048780488,2.109756097560976,0.6951219512195121,1.2682926829268293,0.2195121951219512,0.6219512195121951,0.24390243902439024,0.451219512195122,2010-11,regular season
Dorell Wright,GSW,82,3147,2.9512195121951224,7.048780487804878,1.804878048780488,1.146341463414634,1.0731707317073171,0.18292682926829268,0.5487804878048781,0.4390243902439024,0.7073170731707317,2010-11,regular season
Blake Griffin,LAC,82,3112,3.804878048780488,9.060975609756095,2.3536585365853657,1.451219512195122,1.3170731707317074,0.32926829268292684,0.7073170731707317,0.2804878048780488,1.170731707317073,2010-11,regular season
LeBron James,MIA,79,3063,7.012658227848102,15.949367088607595,5.0886075949367084,1.9240506329113924,2.2151898734177213,0.6455696202531646,2.2278481012658227,0.7721518987341772,1.1518987341772151,2010-11,regular season
Kevin Durant,OKC,78,3038,2.743589743589744,6.102564102564102,2.128205128205128,0.6153846153846154,1.3717948717948718,0.16666666666666666,0.5897435897435898,0.15384615384615385,0.4615384615384616,2010-11,regular season
Pau Gasol,LAL,82,3037,3.3292682926829267,7.426829268292682,2.5609756097560976,0.7682926829268293,1.5609756097560976,0.35365853658536583,0.6463414634146342,0.2926829268292683,0.475609756097561,2010-11,regular season
Derrick Rose,CHI,81,3026,7.6913580246913575,17.395061728395063,5.679012345679013,2.0123456790123457,2.851851851851852,0.7037037037037037,2.123456790123457,0.7777777777777778,1.2345679012345678,2010-11,regular season
Al Jefferson,UTA,82,2941,1.8170731707317076,4.121951219512195,1.329268292682927,0.4878048780487805,0.7195121951219512,0.14634146341463414,0.4634146341463415,0.04878048780487805,0.4390243902439024,2010-11,regular season
Dwight Howard,ORL,78,2935,1.3717948717948718,3.4743589743589745,0.6410256410256411,0.7307692307692307,0.2564102564102564,0.1282051282051282,0.2564102564102564,0.16666666666666666,0.5641025641025641,2010-11,regular season
Jrue Holiday,PHI,82,2901,6.475609756097561,14.134146341463413,5.2926829268292686,1.1829268292682926,2.475609756097561,1.0121951219512195,1.804878048780488,0.451219512195122,0.7317073170731707,2010-11,regular season
Ray Allen,BOS,80,2890,2.7375,5.7625,2.45,0.2875,1.5,0.275,0.675,0.1,0.1875,2010-11,regular season
Brook Lopez,NJN,82,2889,1.5731707317073171,3.5365853658536586,1.1829268292682926,0.3902439024390244,0.475609756097561,0.17073170731707318,0.5365853658536586,0.04878048780487805,0.3414634146341464,2010-11,regular season
Chris Paul,NOH,80,2880,9.775,21.6875,7.6375,2.1375,3.15,1.225,3.2625,0.7875,1.35,2010-11,regular season
