Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
James Harden,HOU,82,3125,6.109756097560974,5.341463414634147,0.8170731707317073,0.3268292682926829,2.5365853658536586,0.11409764125068568,1.9878048780487805,0.15703275529865124,0.12967493883257605,0.7682926829268293,0.0,0.0,0.5,0.0258349086326402,0.2682926829268293,0.017295597484276733,0.022035676810073453,0.09985528219971056,0.10296684118673648,0.14311270125223613,0.14385474860335196,0.18633540372670807,0.018284106891701832,0.045454545454545456,0.009202453987730062,0.015421115065243182,0.02097902097902098,2015-16,regular season
Gordon Hayward,UTA,80,2893,4.9625,4.2,0.2625,0.12574850299401194,2.475,0.11123595505617978,1.4625,0.15019255455712452,0.12309495896834698,0.7625,0.0625,0.02824858757062147,0.4625,0.021854695806261083,0.2375,0.021714285714285717,0.02180685358255452,0.08125,0.10193321616871703,0.15411558669001751,0.15544041450777202,0.135,0.02555366269165247,0.0224,0.016632016632016633,0.017094017094017096,0.03103448275862069,2015-16,regular season
Kemba Walker,CHA,81,2885,4.407407407407407,3.7160493827160495,0.13580246913580246,0.07482993197278913,2.197530864197531,0.10039481105470953,1.3827160493827158,0.11522633744855967,0.10564663023679416,0.6913580246913579,0.0,0.0,0.3703703703703704,0.018072289156626502,0.32098765432098764,0.022968197879858657,0.02005730659025788,0.07954545454545454,0.10131332082551596,0.1201923076923077,0.12005457025920875,0.100418410041841,0.025684931506849317,0.01821862348178137,0.010309278350515464,0.020255863539445633,0.03608247422680412,2015-16,regular season
Trevor Ariza,HOU,81,2859,4.518518518518519,3.6913580246913575,0.2962962962962963,0.13636363636363635,2.0370370370370368,0.10006064281382657,1.3580246913580247,0.11853448275862068,0.10671323244082266,0.8271604938271605,0.04938271604938271,0.015267175572519085,0.5679012345679012,0.031442241968557764,0.20987654320987653,0.014782608695652176,0.024110218140068886,0.07575757575757576,0.09576427255985268,0.1328125,0.12025316455696206,0.11486486486486487,0.03619909502262444,0.027777777777777776,0.027027027027027032,0.014492753623188406,0.015345268542199487,2015-16,regular season
Marcus Morris,DET,80,2856,5.05,3.925,0.1875,0.14285714285714285,2.7125,0.11774281063483452,1.025,0.10761154855643043,0.11477927063339732,1.125,0.05,0.017391304347826087,0.825,0.036085292509568066,0.25,0.02192982456140351,0.03137541043414812,0.09466437177280553,0.12878787878787878,0.12790697674418605,0.10912052117263844,0.10135135135135136,0.03650793650793651,0.039509536784741145,0.030107526881720432,0.019548872180451128,0.02834008097165992,2015-16,regular season
Khris Middleton,MIL,79,2852,3.8227848101265822,3.2658227848101267,0.13924050632911392,0.06666666666666668,1.8987341772151896,0.09129640900791236,1.2278481012658229,0.0995893223819302,0.09438288116163546,0.5569620253164557,0.02531645569620253,0.011695906432748536,0.4303797468354431,0.017364657814096015,0.10126582278481013,0.015122873345935728,0.016887816646562127,0.06666666666666668,0.0867579908675799,0.13195876288659794,0.1037463976945245,0.08928571428571429,0.02225130890052356,0.0196078431372549,0.00859106529209622,0.010666666666666666,0.025974025974025976,2015-16,regular season
Kyle Lowry,TOR,77,2851,4.740259740259741,4.025974025974026,0.025974025974025976,0.013422818791946308,2.8571428571428568,0.12222222222222222,1.1428571428571428,0.10666666666666667,0.11733333333333333,0.7142857142857143,0.0,0.0,0.4935064935064935,0.022144522144522144,0.2207792207792208,0.020094562647754142,0.02146760343481655,0.10726072607260724,0.10099337748344372,0.15932203389830507,0.10294117647058824,0.11737089201877934,0.0253968253968254,0.012173913043478259,0.02935420743639922,0.02337228714524207,0.012145748987854251,2015-16,regular season
Andrew Wiggins,MIN,81,2845,3.592592592592593,2.2962962962962963,0.061728395061728385,0.03311258278145696,1.2962962962962965,0.06220379146919431,0.9382716049382716,0.08287895310796074,0.06948176583493282,1.2962962962962965,0.02469135802469136,0.011695906432748536,0.9135802469135802,0.038026721479958885,0.3580246913580247,0.050966608084358524,0.04095427435387674,0.05797101449275361,0.045889101338432124,0.08272058823529413,0.09022556390977443,0.06349206349206349,0.045217391304347834,0.03696498054474708,0.0338389731621937,0.054945054945054944,0.03508771929824561,2015-16,regular season
Giannis Antetokounmpo,MIL,80,2823,7.65,6.2375,0.6,0.32653061224489793,3.2,0.16040100250626566,2.4375,0.2002053388090349,0.1754863813229572,1.4125,0.05,0.0213903743315508,1.1375,0.0470770822555613,0.225,0.03402646502835538,0.044272948822095856,0.1366906474820144,0.13901345291479822,0.2175824175824176,0.20674486803519065,0.18493150684931506,0.0650730411686587,0.046052631578947366,0.024475524475524483,0.04032258064516129,0.01910828025477707,2015-16,regular season
Paul George,IND,81,2819,6.950617283950617,5.9753086419753085,0.5925925925925926,0.2857142857142857,3.1728395061728394,0.14694110920526016,2.2098765432098766,0.18743455497382197,0.16124260355029585,0.9753086419753086,0.04938271604938271,0.02531645569620253,0.654320987654321,0.0297085201793722,0.2716049382716049,0.02480270574971815,0.028079371022089104,0.10046367851622877,0.138,0.2043189368770764,0.20803443328550933,0.13178294573643412,0.04114490161001789,0.03416856492027335,0.019083969465648856,0.02047244094488189,0.03571428571428571,2015-16,regular season
