Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Carmelo Anthony,NYK,74,2538,2.8783783783783785,6.743243243243242,1.891891891891892,0.9864864864864864,1.0135135135135136,0.4324324324324325,0.4459459459459459,0.4189189189189189,0.5675675675675675,2016-17,regular season
Marc Gasol,MEM,74,2531,4.567567567567568,10.851351351351349,2.8513513513513518,1.7162162162162162,1.8783783783783785,0.4864864864864865,0.4864864864864865,0.5,1.2162162162162162,2016-17,regular season
Kentavious Caldwell-Pope,DET,76,2529,2.5394736842105257,5.828947368421053,1.7894736842105263,0.75,1.0263157894736843,0.4868421052631579,0.27631578947368424,0.13157894736842105,0.618421052631579,2016-17,regular season
Kyrie Irving,CLE,72,2525,5.8055555555555545,14.069444444444445,3.3472222222222223,2.458333333333333,2.25,0.6944444444444444,0.4027777777777778,0.7777777777777778,1.6805555555555556,2016-17,regular season
Gordon Hayward,UTA,73,2516,3.4520547945205484,8.36986301369863,1.9863013698630136,1.4657534246575343,1.4657534246575343,0.3013698630136986,0.2191780821917808,0.6438356164383562,0.821917808219178,2016-17,regular season
Hassan Whiteside,MIA,77,2514,0.7402597402597403,1.6623376623376624,0.5584415584415584,0.18181818181818185,0.3636363636363637,0.07792207792207792,0.11688311688311688,0.025974025974025976,0.15584415584415584,2016-17,regular season
Wesley Matthews,DAL,73,2495,2.8767123287671232,7.136986301369863,1.4931506849315068,1.3835616438356164,0.5068493150684932,0.2876712328767123,0.6986301369863014,0.3013698630136986,1.082191780821918,2016-17,regular season
Dennis Schroder,ATL,79,2485,6.316455696202532,14.658227848101266,4.291139240506328,2.0253164556962027,2.7341772151898733,0.6835443037974683,0.8734177215189873,0.5063291139240507,1.5189873417721518,2016-17,regular season
Kawhi Leonard,SAS,74,2475,3.5135135135135136,8.702702702702705,1.8378378378378382,1.6756756756756757,0.972972972972973,0.33783783783783783,0.527027027027027,0.6891891891891891,0.9864864864864864,2016-17,regular season
Draymond Green,GSW,76,2471,7.0131578947368425,16.42105263157895,4.618421052631579,2.3947368421052637,2.9473684210526314,0.631578947368421,1.0394736842105263,0.4736842105263158,1.9210526315789476,2016-17,regular season
Ricky Rubio,MIN,75,2469,9.093333333333334,20.17333333333333,7.1066666666666665,1.9866666666666664,4.293333333333333,1.44,1.3733333333333333,0.8533333333333334,1.1333333333333333,2016-17,regular season
DeMarcus Cousins,NOP,72,2466,4.611111111111111,11.083333333333336,2.75,1.8611111111111112,1.7916666666666667,0.4166666666666667,0.5416666666666666,0.7916666666666666,1.0694444444444444,2016-17,regular season
Goran Dragic,MIA,73,2460,5.794520547945205,14.095890410958905,3.287671232876712,2.5068493150684934,1.7671232876712328,0.7534246575342466,0.7671232876712328,0.9863013698630136,1.5205479452054795,2016-17,regular season
Courtney Lee,NYK,77,2459,2.3246753246753253,5.428571428571429,1.5454545454545454,0.7792207792207793,0.7532467532467533,0.3636363636363637,0.42857142857142855,0.2727272727272727,0.5064935064935064,2016-17,regular season
Serge Ibaka,TOR,79,2422,0.9493670886075948,2.2911392405063293,0.5569620253164557,0.3924050632911392,0.2911392405063291,0.12658227848101267,0.13924050632911392,0.0759493670886076,0.3164556962025317,2016-17,regular season
Elfrid Payton,ORL,82,2412,6.451219512195122,14.707317073170733,4.646341463414634,1.804878048780488,2.3902439024390243,0.9634146341463414,1.2926829268292683,0.36585365853658536,1.4390243902439024,2016-17,regular season
Andre Drummond,DET,81,2410,1.1111111111111112,2.617283950617284,0.7160493827160493,0.3950617283950617,0.32098765432098764,0.12345679012345677,0.2716049382716049,0.1111111111111111,0.2839506172839506,2016-17,regular season
Marcus Smart,BOS,79,2399,4.6075949367088604,11.0,2.8227848101265822,1.7848101265822784,2.0632911392405062,0.34177215189873417,0.4177215189873418,0.4683544303797468,1.3164556962025316,2016-17,regular season
Jordan Clarkson,LAL,82,2397,2.5975609756097557,5.817073170731707,1.9756097560975612,0.6219512195121951,1.3658536585365857,0.4268292682926829,0.18292682926829268,0.1951219512195122,0.4268292682926829,2016-17,regular season
Steven Adams,OKC,80,2390,1.075,2.7125,0.5125,0.5625,0.4125,0.025,0.075,0.0625,0.5,2016-17,regular season
Andre Roberson,OKC,79,2376,1.0,2.4050632911392404,0.5949367088607594,0.4050632911392405,0.3670886075949367,0.05063291139240506,0.17721518987341772,0.18987341772151897,0.21518987341772156,2016-17,regular season
Markieff Morris,WAS,76,2374,1.6578947368421053,3.7894736842105265,1.1842105263157894,0.4736842105263158,0.7105263157894737,0.18421052631578946,0.2894736842105263,0.15789473684210525,0.3157894736842105,2016-17,regular season
Solomon Hill,NOP,80,2374,1.7625,4.0625,1.225,0.5375,0.7875,0.225,0.2125,0.15,0.3875,2016-17,regular season
Michael Kidd-Gilchrist,CHA,81,2350,1.4074074074074074,3.45679012345679,0.7654320987654321,0.6419753086419753,0.3703703703703704,0.20987654320987653,0.1851851851851852,0.12345679012345677,0.5185185185185185,2016-17,regular season
Paul Millsap,ATL,69,2343,3.652173913043478,8.695652173913043,2.260869565217391,1.391304347826087,1.608695652173913,0.13043478260869565,0.5217391304347826,0.6086956521739131,0.7826086956521741,2016-17,regular season
Tristan Thompson,CLE,78,2337,0.9871794871794872,2.4743589743589745,0.4871794871794872,0.5,0.2948717948717949,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.3461538461538461,2016-17,regular season
Tony Snell,MIL,80,2336,1.2,2.7625,0.8375,0.3625,0.525,0.1875,0.125,0.125,0.2375,2016-17,regular season
Jae Crowder,BOS,72,2335,2.1527777777777777,5.1805555555555545,1.2777777777777777,0.875,0.8055555555555556,0.2361111111111111,0.2361111111111111,0.2638888888888889,0.6111111111111112,2016-17,regular season
LaMarcus Aldridge,SAS,72,2335,1.930555555555556,4.791666666666667,1.0,0.9305555555555556,0.4444444444444444,0.1527777777777778,0.4027777777777778,0.2638888888888889,0.6666666666666666,2016-17,regular season
Eric Gordon,HOU,75,2323,2.506666666666667,6.013333333333334,1.5066666666666666,1.0,1.3066666666666666,0.12,0.08,0.4,0.6,2016-17,regular season
Aaron Gordon,ORL,80,2298,1.875,4.4,1.225,0.65,0.725,0.2375,0.2625,0.125,0.525,2016-17,regular season
Marvin Williams,CHA,76,2295,1.3947368421052628,3.3157894736842106,0.8684210526315791,0.5263157894736842,0.5131578947368421,0.14473684210526316,0.21052631578947367,0.02631578947368421,0.5,2016-17,regular season
Mike Conley,MEM,69,2292,6.27536231884058,14.63768115942029,4.188405797101448,2.0869565217391304,2.057971014492753,0.8840579710144928,1.2463768115942029,0.5072463768115942,1.579710144927536,2016-17,regular season
Brandon Ingram,LAL,79,2279,2.1012658227848102,4.886075949367089,1.4177215189873418,0.6835443037974683,0.8860759493670886,0.3164556962025317,0.21518987341772156,0.16455696202531644,0.5189873417721519,2016-17,regular season
Robin Lopez,CHI,81,2271,0.9876543209876544,2.2469135802469142,0.7160493827160493,0.2716049382716049,0.4074074074074074,0.12345679012345677,0.1851851851851852,0.08641975308641975,0.1851851851851852,2016-17,regular season
Allen Crabbe,POR,79,2254,1.1898734177215189,2.8860759493670884,0.6835443037974683,0.5063291139240507,0.3291139240506329,0.20253164556962025,0.1518987341772152,0.1518987341772152,0.35443037974683544,2016-17,regular season
Kyle Lowry,TOR,60,2244,6.95,15.666666666666664,5.183333333333334,1.7666666666666666,3.2666666666666666,1.0833333333333333,0.8333333333333334,0.7,1.0666666666666669,2016-17,regular season
Thaddeus Young,IND,74,2237,1.648648648648649,3.864864864864865,1.0810810810810811,0.5675675675675675,0.7027027027027027,0.10810810810810813,0.2702702702702703,0.14864864864864866,0.4189189189189189,2016-17,regular season
PJ Tucker,TOR,81,2236,1.2222222222222223,2.8395061728395063,0.8271604938271605,0.3950617283950617,0.4074074074074074,0.2345679012345679,0.1851851851851852,0.13580246913580246,0.25925925925925924,2016-17,regular season
Evan Fournier,ORL,68,2234,2.9705882352941178,6.764705882352941,2.147058823529412,0.8235294117647058,0.9705882352941176,0.6176470588235294,0.5588235294117647,0.22058823529411764,0.6029411764705882,2016-17,regular season
Maurice Harkless,POR,77,2223,1.1428571428571428,2.8181818181818183,0.6103896103896104,0.5324675324675324,0.2987012987012987,0.14285714285714285,0.16883116883116886,0.11688311688311688,0.4155844155844156,2016-17,regular season
