Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
LeBron James,CLE,82,3026,6157,27.451219512195124,8.634146341463415,14.317073170731707,0.6030664395229983,1.8170731707317076,4.951219512195122,0.3669950738916256,0.3679012345679013,4.7317073170731705,5.1951219512195115,12.073170731707316,1.9390243902439024,3.5121951219512195,0.3008474576271186,0.31277533039647576,0.3557046979865772,0.2569620253164557,0.5270436628643853,0.5895569620253165,0.6235457063711911,0.6585365853658537,0.8292682926829268,0.057921635434412276,0.0,0.0,31.48773681891614,2017-18,regular season
Khris Middleton,MIL,82,2982,5983,20.146341463414632,5.451219512195122,10.548780487804876,0.5167630057803468,1.7804878048780488,4.963414634146342,0.35872235872235875,0.3596059113300493,3.902439024390244,4.658536585365853,6.243902439024391,4.5,0.8414634146341463,0.4272930648769575,0.4350797266514807,0.8424657534246576,0.3199685534591195,0.4779058221872542,0.5235849056603774,0.568870523415978,0.1951219512195122,0.6097560975609756,0.05780346820809248,0.06097560975609756,0.012285012285012284,24.282895735316444,2017-18,regular season
Andrew Wiggins,MIN,82,2979,5959,17.70731707317073,5.573170731707316,11.731707317073171,0.4750519750519751,1.3658536585365857,4.121951219512195,0.33136094674556216,0.33136094674556216,2.463414634146341,5.243902439024391,5.902439024390245,3.475609756097561,0.6219512195121951,0.4704595185995624,0.5,0.8482142857142857,0.26,0.4914906081601231,0.4807692307692308,0.5041666666666667,0.6585365853658537,0.7439024390243902,0.06340956340956341,0.012195121951219513,0.002958579881656805,23.283626162704856,2017-18,regular season
Bradley Beal,WAS,82,2977,5971,22.646341463414632,5.902439024390245,11.634146341463413,0.5073375262054507,2.426829268292683,6.463414634146342,0.3754716981132076,0.3776091081593928,3.5609756097560976,4.1951219512195115,7.609756097560974,5.7073170731707314,1.5731707317073171,0.35537190082644626,0.3628691983122363,0.7839195979899497,0.35714285714285715,0.490304054054054,0.5272911051212938,0.5586642599277978,0.24390243902439024,0.6707317073170732,0.057651991614255764,0.08536585365853659,0.01320754716981132,27.42899850523169,2017-18,regular season
Jrue Holiday,NOP,81,2927,6133,18.975308641975307,6.111111111111112,10.962962962962964,0.5574324324324325,1.4814814814814814,4.395061728395062,0.33707865168539325,0.3389830508474576,2.308641975308642,4.197530864197532,8.024691358024691,3.1481481481481484,1.2962962962962965,0.3434343434343434,0.3505154639175257,0.7083333333333334,0.2861736334405145,0.5092270564516129,0.542604501607717,0.5675775480059084,0.2469135802469136,0.6913580246913579,0.06306306306306306,0.012345679012345678,0.002808988764044944,22.94282759639533,2017-18,regular season
CJ McCollum,POR,81,2923,5860,21.382716049382715,5.901234567901233,12.703703703703706,0.4645286686103013,2.333333333333333,5.876543209876544,0.3970588235294117,0.3970588235294117,2.5802469135802473,2.567901234567901,9.234567901234568,4.37037037037037,2.6296296296296298,0.2175732217573222,0.2222222222222222,0.6243386243386243,0.31627906976744186,0.4851206117021277,0.5059800664451827,0.5352286773794809,0.2469135802469136,1.148148148148148,0.09037900874635567,0.08641975308641975,0.014705882352941175,26.486974853184762,2017-18,regular season
Karl-Anthony Towns,MIN,82,2918,5760,21.256097560975608,6.329268292682928,10.817073170731707,0.5851183765501691,1.4634146341463414,3.475609756097561,0.42105263157894735,0.4225352112676056,4.2073170731707314,8.121951219512193,4.536585365853658,4.280487804878049,0.1097560975609756,0.6416184971098265,0.7672811059907834,0.975,0.2431740614334471,0.508619684030743,0.5964163822525598,0.6465133531157271,2.073170731707317,0.7804878048780488,0.07215332581736189,0.0,0.0,22.996941896024467,2017-18,regular season
Russell Westbrook,OKC,80,2914,5946,25.35,8.25,17.0125,0.4849375459221161,1.2125,4.075,0.29754601226993865,0.30030959752321984,5.2125,2.8,13.7,1.575,2.0625,0.1696969696969697,0.1769352290679305,0.4329896907216495,0.1932424422050978,0.5293744952494062,0.4774748073503261,0.5224111282843895,0.675,1.0375,0.06098457016899339,0.0125,0.003067484662576687,33.21814254859611,2017-18,regular season
Paul George,OKC,79,2891,5867,21.94936708860759,4.2025316455696204,9.253164556962023,0.454172366621067,3.088607594936709,7.70886075949367,0.4006568144499179,0.4039735099337749,4.278481012658228,3.0126582278481013,5.39240506329114,7.443037974683543,1.8227848101265824,0.35843373493975905,0.3695652173913043,0.8032786885245902,0.4544776119402985,0.5171678919729933,0.5208955223880597,0.5651890482398957,0.2531645569620253,0.7341772151898734,0.07934336525307797,0.06329113924050632,0.008210180623973728,25.416974169741696,2017-18,regular season
Giannis Antetokounmpo,MIL,75,2756,5489,26.85333333333333,9.32,16.813333333333333,0.5543219666931007,0.5733333333333334,1.8666666666666667,0.3071428571428572,0.3115942028985507,6.493333333333332,8.0,10.64,1.56,0.16,0.4291845493562232,0.4702194357366771,0.9069767441860463,0.09992862241256244,0.5208216225875626,0.5449678800856531,0.598692033293698,1.6266666666666667,1.1333333333333333,0.06740681998413957,0.0,0.0,31.39419907712591,2017-18,regular season
