Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Kevin Durant,OKC,82,3239,2.817073170731707,6.2560975609756095,2.1951219512195124,0.6219512195121951,1.2439024390243902,0.2926829268292683,0.6585365853658537,0.23170731707317074,0.3902439024390244,2009-10,regular season
Andre Iguodala,PHI,82,3193,5.7560975609756095,12.573170731707316,4.6951219512195115,1.0609756097560976,2.6341463414634148,0.8780487804878049,1.1829268292682926,0.3902439024390244,0.6707317073170732,2009-10,regular season
Rudy Gay,MEM,80,3175,1.9125,4.2,1.5375,0.375,0.8625,0.3375,0.3375,0.175,0.2,2009-10,regular season
Stephen Jackson,CHA,81,3129,3.703703703703704,7.987654320987653,3.1234567901234573,0.5802469135802469,2.469135802469136,0.2839506172839506,0.3703703703703704,0.20987654320987653,0.3703703703703704,2009-10,regular season
Gerald Wallace,CHA,76,3120,2.1184210526315788,4.776315789473684,1.5789473684210529,0.5394736842105263,1.0657894736842106,0.21052631578947367,0.3026315789473684,0.07894736842105263,0.4605263157894737,2009-10,regular season
O.J. Mayo,MEM,82,3114,2.9512195121951224,6.475609756097561,2.3780487804878048,0.573170731707317,1.6097560975609757,0.3170731707317073,0.451219512195122,0.23170731707317074,0.3414634146341464,2009-10,regular season
Zach Randolph,MEM,81,3051,1.839506172839506,4.209876543209877,1.308641975308642,0.5308641975308642,0.9629629629629628,0.2345679012345679,0.1111111111111111,0.1111111111111111,0.41975308641975306,2009-10,regular season
Jeff Green,OKC,82,3043,1.6341463414634143,3.731707317073171,1.170731707317073,0.4634146341463415,0.4390243902439024,0.24390243902439024,0.4878048780487805,0.17073170731707318,0.2926829268292683,2009-10,regular season
Dirk Nowitzki,DAL,81,3039,2.6913580246913575,6.432098765432099,1.6419753086419753,1.0493827160493827,0.8641975308641975,0.3333333333333333,0.4444444444444444,0.2345679012345679,0.8148148148148148,2009-10,regular season
Brook Lopez,NJN,82,3027,2.2804878048780486,4.987804878048781,1.8536585365853657,0.4268292682926829,1.1585365853658536,0.18292682926829268,0.5121951219512195,0.0975609756097561,0.32926829268292684,2009-10,regular season
David Lee,NYK,81,3019,3.641975308641976,9.111111111111109,1.8148148148148149,1.8271604938271604,1.0740740740740742,0.1728395061728395,0.5679012345679012,0.3333333333333333,1.4938271604938271,2009-10,regular season
LeBron James,CLE,76,2966,8.565789473684209,19.684210526315788,6.0131578947368425,2.5526315789473686,4.144736842105264,0.6578947368421053,1.2105263157894737,1.368421052631579,1.1842105263157894,2009-10,regular season
Rajon Rondo,BOS,81,2963,9.802469135802466,21.88888888888889,7.518518518518517,2.2839506172839505,4.469135802469137,0.8641975308641975,2.185185185185185,0.6049382716049383,1.6790123456790125,2009-10,regular season
David West,NOH,81,2949,2.9506172839506166,6.938271604938271,1.9135802469135803,1.037037037037037,1.160493827160494,0.34567901234567894,0.4074074074074074,0.2469135802469136,0.7901234567901234,2009-10,regular season
LaMarcus Aldridge,POR,78,2922,2.051282051282051,4.743589743589744,1.4102564102564104,0.6410256410256411,0.8076923076923077,0.1153846153846154,0.4871794871794872,0.1282051282051282,0.5128205128205128,2009-10,regular season
Aaron Brooks,HOU,82,2919,5.2926829268292686,12.01219512195122,3.865853658536585,1.4268292682926829,2.2804878048780486,0.5365853658536586,1.0487804878048779,0.6341463414634146,0.7926829268292683,2009-10,regular season
Boris Diaw,CHA,82,2906,3.963414634146341,9.0,2.8902439024390243,1.0731707317073171,1.5243902439024388,0.3414634146341464,1.024390243902439,0.4146341463414634,0.6585365853658537,2009-10,regular season
Stephen Curry,GSW,80,2896,5.9,13.175,4.525,1.375,2.6875,0.425,1.4125,0.425,0.95,2009-10,regular season
Joe Johnson,ATL,76,2886,4.855263157894737,11.144736842105265,3.421052631578948,1.4342105263157894,1.4605263157894737,0.5,1.4605263157894737,0.5789473684210527,0.8552631578947368,2009-10,regular season
Jason Kidd,DAL,80,2881,9.05,19.5875,7.5625,1.4875,3.3375,1.2125,3.0125,0.4125,1.075,2009-10,regular season
Derrick Rose,CHI,78,2871,6.012820512820514,13.371794871794872,4.666666666666667,1.3461538461538465,1.9615384615384612,0.3974358974358974,2.3076923076923075,0.6153846153846154,0.7307692307692307,2009-10,regular season
Josh Smith,ATL,81,2871,4.222222222222221,9.753086419753087,2.9135802469135803,1.308641975308642,1.9259259259259256,0.3333333333333333,0.654320987654321,0.6666666666666666,0.6419753086419753,2009-10,regular season
Al Horford,ATL,81,2845,2.333333333333333,5.3580246913580245,1.6419753086419753,0.6913580246913579,1.037037037037037,0.061728395061728385,0.5432098765432098,0.19753086419753085,0.4938271604938271,2009-10,regular season
Dwight Howard,ORL,82,2843,1.7560975609756098,4.414634146341464,0.8536585365853658,0.902439024390244,0.6463414634146342,0.06097560975609756,0.14634146341463414,0.17073170731707318,0.7317073170731707,2009-10,regular season
Amar'e Stoudemire,PHX,82,2838,1.0,2.451219512195122,0.5487804878048781,0.451219512195122,0.4146341463414634,0.024390243902439025,0.1097560975609756,0.17073170731707318,0.2804878048780488,2009-10,regular season
Kobe Bryant,LAL,73,2836,5.0,11.383561643835616,3.616438356164384,1.3835616438356164,2.2739726027397262,0.5342465753424658,0.8082191780821918,0.547945205479452,0.8356164383561644,2009-10,regular season
John Salmons,MIL,81,2825,2.7530864197530858,6.296296296296298,1.9629629629629632,0.7901234567901234,0.8395061728395061,0.3703703703703704,0.7530864197530864,0.25925925925925924,0.5308641975308642,2009-10,regular season
Ray Allen,BOS,80,2819,2.625,5.65,2.225,0.4,1.5,0.3,0.425,0.1375,0.2625,2009-10,regular season
Russell Westbrook,OKC,82,2813,7.951219512195122,17.585365853658537,6.2682926829268295,1.6829268292682926,3.1951219512195124,0.7926829268292683,2.2804878048780486,0.3780487804878049,1.304878048780488,2009-10,regular season
Deron Williams,UTA,76,2802,10.5,23.02631578947368,8.473684210526315,2.026315789473684,4.921052631578949,1.0921052631578947,2.4605263157894743,0.631578947368421,1.3947368421052628,2009-10,regular season
Andrea Bargnani,TOR,80,2799,1.1625,2.675,0.8125,0.35,0.4875,0.1,0.225,0.1625,0.1875,2009-10,regular season
Dwyane Wade,MIA,77,2793,6.5064935064935066,14.909090909090908,4.6103896103896105,1.8961038961038958,2.272727272727273,0.8181818181818182,1.5194805194805194,0.8051948051948052,1.0909090909090908,2009-10,regular season
Caron Butler,DAL,74,2784,2.108108108108108,4.8243243243243255,1.5,0.6081081081081081,0.7027027027027027,0.2702702702702703,0.527027027027027,0.20270270270270271,0.40540540540540543,2009-10,regular season
Nene ,DEN,82,2755,2.475609756097561,5.695121951219512,1.7317073170731707,0.7439024390243902,0.9268292682926829,0.24390243902439024,0.5609756097560976,0.1951219512195122,0.5487804878048781,2009-10,regular season
Danilo Gallinari,NYK,81,2747,1.6666666666666667,3.7777777777777777,1.2222222222222223,0.4444444444444444,0.5432098765432098,0.14814814814814814,0.5308641975308642,0.1851851851851852,0.25925925925925924,2009-10,regular season
Rasual Butler,LAC,82,2702,1.4146341463414631,3.0487804878048776,1.195121951219512,0.2195121951219512,0.5487804878048781,0.3048780487804878,0.3414634146341464,0.0975609756097561,0.12195121951219512,2009-10,regular season
Tyreke Evans,SAC,72,2677,5.75,13.333333333333336,3.9166666666666665,1.8333333333333333,1.7083333333333333,0.5555555555555556,1.6527777777777777,0.4166666666666667,1.4166666666666667,2009-10,regular season
Carlos Boozer,UTA,78,2673,3.1666666666666665,6.858974358974358,2.641025641025641,0.5256410256410257,1.5769230769230769,0.1794871794871795,0.8846153846153846,0.05128205128205128,0.4743589743589744,2009-10,regular season
Luis Scola,HOU,82,2672,2.0609756097560976,5.060975609756096,1.1219512195121952,0.9390243902439024,0.7439024390243902,0.13414634146341464,0.24390243902439024,0.2195121951219512,0.7195121951219512,2009-10,regular season
Brandon Jennings,MIL,82,2671,5.7317073170731705,13.109756097560975,4.085365853658536,1.6463414634146343,2.3292682926829267,0.6219512195121951,1.1341463414634143,0.5487804878048781,1.0975609756097562,2009-10,regular season
Steve Nash,PHX,81,2660,11.012345679012343,24.703703703703702,8.333333333333334,2.6790123456790123,4.9753086419753085,1.567901234567901,1.7901234567901234,0.8024691358024691,1.8765432098765433,2009-10,regular season
Luol Deng,CHI,70,2651,2.0428571428571427,4.514285714285714,1.6142857142857143,0.42857142857142855,0.8714285714285714,0.2,0.5428571428571428,0.17142857142857146,0.2571428571428571,2009-10,regular season
Monta Ellis,GSW,64,2647,5.3125,12.140625,3.796875,1.515625,2.40625,0.390625,1.0,0.5625,0.953125,2009-10,regular season
Raymond Felton,CHA,80,2643,5.575,12.625,4.1,1.475,2.875,0.3625,0.8625,0.6,0.875,2009-10,regular season
Carmelo Anthony,DEN,69,2634,3.217391304347826,7.304347826086956,2.347826086956522,0.8695652173913043,1.7246376811594204,0.2318840579710145,0.39130434782608703,0.3188405797101449,0.5507246376811594,2009-10,regular season
Trevor Ariza,HOU,72,2629,3.8333333333333335,8.527777777777779,2.9722222222222223,0.8611111111111112,1.6111111111111112,0.4583333333333333,0.9027777777777778,0.3888888888888889,0.4722222222222222,2009-10,regular season
Chris Kaman,LAC,76,2609,1.5789473684210529,3.6052631578947367,1.131578947368421,0.4473684210526316,0.8157894736842105,0.13157894736842105,0.18421052631578946,0.06578947368421052,0.3815789473684211,2009-10,regular season
Metta World Peace,LAL,77,2605,3.0389610389610384,6.688311688311687,2.4285714285714284,0.6103896103896104,1.324675324675325,0.5324675324675324,0.5714285714285714,0.2597402597402597,0.35064935064935066,2009-10,regular season
Lamar Odom,LAL,82,2585,3.256097560975609,7.2439024390243905,2.524390243902439,0.7317073170731707,1.3414634146341464,0.5365853658536586,0.6463414634146342,0.1951219512195122,0.5365853658536586,2009-10,regular season
Mike Conley,MEM,80,2569,5.3125,11.5625,4.375,0.9375,2.475,0.7625,1.1375,0.2125,0.725,2009-10,regular season
Jason Terry,DAL,77,2540,3.7922077922077917,8.727272727272727,2.6493506493506493,1.1428571428571428,1.2987012987012987,0.37662337662337664,0.9740259740259741,0.2857142857142857,0.8571428571428571,2009-10,regular season
Chris Bosh,TOR,70,2526,2.3714285714285714,5.542857142857144,1.5714285714285714,0.8,0.8285714285714286,0.3857142857142857,0.35714285714285715,0.14285714285714285,0.6571428571428571,2009-10,regular season
Baron Davis,LAC,75,2523,7.973333333333334,17.413333333333334,6.506666666666668,1.4666666666666666,3.653333333333333,1.1466666666666667,1.7066666666666668,0.4266666666666667,1.04,2009-10,regular season
Richard Jefferson,SAS,81,2520,1.9506172839506173,4.395061728395062,1.4567901234567902,0.4938271604938271,0.7160493827160493,0.2716049382716049,0.4691358024691358,0.1728395061728395,0.32098765432098764,2009-10,regular season
Andre Miller,POR,82,2500,5.426829268292684,12.231707317073171,4.048780487804878,1.3780487804878048,2.1951219512195124,0.4390243902439024,1.4146341463414631,0.5609756097560976,0.8170731707317073,2009-10,regular season
Rodney Stuckey,DET,73,2499,4.767123287671233,10.506849315068491,3.7945205479452055,0.9726027397260274,1.6712328767123288,0.6849315068493149,1.4383561643835616,0.4520547945205479,0.5205479452054794,2009-10,regular season
