Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
James Harden,HOU,81,2981,5.666666666666668,4.7407407407407405,0.4320987654320987,0.20114942528735635,2.9012345679012346,0.12526652452025586,1.4074074074074074,0.12351029252437705,0.1246873883529832,0.925925925925926,0.02469135802469136,0.008928571428571428,0.4444444444444444,0.02401601067378252,0.4567901234567901,0.029388403494837168,0.02646845540246556,0.10140405616224647,0.1265597147950089,0.14688427299703266,0.13169984686064318,0.1037037037037037,0.02374301675977654,0.026000000000000002,0.02120141342756184,0.0282021151586369,0.031862745098039214,2014-15,regular season
Andrew Wiggins,MIN,82,2969,4.560975609756096,2.9268292682926833,0.1097560975609756,0.06,1.5731707317073171,0.07367218732153055,1.2439024390243902,0.11874272409778812,0.08850574712643679,1.6341463414634143,0.0,0.0,1.3170731707317074,0.047745358090185666,0.3170731707317073,0.04651162790697674,0.04750088621056363,0.0706713780918728,0.055133079847908745,0.09104704097116843,0.12995245641838352,0.08771929824561403,0.05555555555555555,0.04707560627674751,0.04271631982475356,0.036866359447004615,0.08,2014-15,regular season
Trevor Ariza,HOU,82,2930,5.597560975609755,4.658536585365853,0.4024390243902439,0.2129032258064516,2.475609756097561,0.1066736731476616,1.7804878048780488,0.1638608305274972,0.12491052254831783,0.9390243902439024,0.08536585365853659,0.03225806451612903,0.5121951219512195,0.027869940278699403,0.3414634146341464,0.02241793434747798,0.025399129172714082,0.07087827426810478,0.0971993410214168,0.15146831530139104,0.1669316375198728,0.15648854961832062,0.04239766081871345,0.014787430683918669,0.01773049645390071,0.022300469483568074,0.022670025188916875,2014-15,regular season
Damian Lillard,POR,82,2925,4.609756097560974,4.012195121951219,0.08536585365853659,0.0472972972972973,2.756097560975609,0.10414746543778802,1.170731707317073,0.13675213675213674,0.11211699164345404,0.5975609756097561,0.0,0.0,0.4146341463414634,0.0189520624303233,0.18292682926829268,0.014691478942213516,0.017406749555950268,0.09063893016344723,0.07195301027900147,0.14215686274509806,0.1393596986817326,0.1286549707602339,0.022304832713754646,0.02131782945736434,0.014864864864864866,0.014285714285714284,0.01593625498007968,2014-15,regular season
Chris Paul,LAC,82,2858,4.585365853658536,3.9512195121951224,0.04878048780487805,0.023809523809523808,2.7439024390243905,0.12335526315789473,1.1585365853658536,0.10944700460829493,0.1188707280832095,0.6341463414634146,0.03658536585365853,0.013333333333333334,0.4146341463414634,0.021518987341772152,0.18292682926829268,0.016538037486218304,0.01970245275432248,0.125,0.10068259385665528,0.14285714285714285,0.11077389984825492,0.10526315789473684,0.019438444924406047,0.02842377260981912,0.019178082191780826,0.015552099533437015,0.01893939393939394,2014-15,regular season
John Wall,WAS,79,2837,4.632911392405063,4.177215189873418,0.0,0.0,2.6582278481012658,0.1122394441475147,1.5189873417721518,0.14084507042253522,0.12118986412045538,0.4556962025316456,0.0,0.0,0.3037974683544304,0.012738853503184714,0.1518987341772152,0.017964071856287425,0.014106583072100312,0.0657439446366782,0.09930313588850176,0.1599443671766342,0.13725490196078433,0.15343915343915346,0.0111731843575419,0.016194331983805668,0.011723329425556858,0.019823788546255508,0.014018691588785048,2014-15,regular season
DeAndre Jordan,LAC,82,2821,14.951219512195122,10.109756097560977,0.9634146341463414,0.4787878787878788,6.109756097560974,0.2769485903814262,3.0365853658536586,0.2950236966824645,0.28269883151149644,4.841463414634147,0.07317073170731707,0.02643171806167401,3.4878048780487805,0.17763975155279504,1.2804878048780488,0.11837655016910935,0.1565879054865839,0.2255389718076285,0.3045774647887324,0.30094043887147337,0.30866141732283464,0.2535885167464115,0.1673728813559322,0.19035532994923854,0.1774193548387097,0.10759493670886076,0.1450980392156863,2014-15,regular season
Eric Bledsoe,PHX,81,2800,5.222222222222221,4.333333333333333,0.09876543209876544,0.05128205128205128,2.938271604938272,0.12434691745036572,1.2962962962962965,0.13478818998716302,0.1273672484218344,0.8888888888888888,0.0,0.0,0.5802469135802469,0.027325581395348842,0.308641975308642,0.02890173410404624,0.027852998065764027,0.0752212389380531,0.1237785016286645,0.17845659163987138,0.13643926788685526,0.12921348314606745,0.02910958904109589,0.03238095238095238,0.02127659574468085,0.04033613445378152,0.003703703703703704,2014-15,regular season
Joe Johnson,BKN,80,2791,4.8,4.1375,0.6,0.2857142857142857,2.4125,0.1142687981053878,1.125,0.11335012594458438,0.11397503020539668,0.6625,0.0125,0.007194244604316547,0.5125,0.02273987798114254,0.1375,0.014804845222072678,0.0204241948153967,0.06913996627318718,0.10706638115631692,0.16216216216216214,0.12121212121212123,0.09,0.03364485981308411,0.027624309392265192,0.005514705882352942,0.011428571428571429,0.022935779816513763,2014-15,regular season
Kyrie Irving,CLE,75,2730,3.16,2.4266666666666667,0.05333333333333334,0.031007751937984492,1.346666666666667,0.05732122587968218,1.0266666666666666,0.09948320413436693,0.07018927444794952,0.7333333333333333,0.0,0.0,0.4266666666666667,0.02106649111257406,0.30666666666666664,0.02470461868958109,0.02244897959183673,0.05244755244755245,0.05431309904153354,0.06560283687943262,0.10752688172043012,0.0787037037037037,0.027257240204429302,0.025540275049115914,0.007092198581560284,0.030395136778115506,0.01098901098901099,2014-15,regular season
