Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Kevin Durant,OKC,81,3122,5.4938271604938285,12.395061728395062,4.08641975308642,1.4074074074074074,2.320987654320988,0.7283950617283951,1.037037037037037,0.5679012345679012,0.8395061728395061,2013-14,regular season
Monta Ellis,DAL,82,3023,5.743902439024391,13.475609756097562,3.7560975609756095,1.9878048780487805,2.2439024390243905,0.6219512195121951,0.8902439024390244,0.4024390243902439,1.5853658536585369,2013-14,regular season
DeMar DeRozan,TOR,79,3017,3.9620253164556964,9.949367088607596,1.9367088607594936,2.0253164556962027,1.0379746835443038,0.3924050632911392,0.5063291139240507,0.620253164556962,1.4050632911392404,2013-14,regular season
Carmelo Anthony,NYK,77,2982,3.1428571428571432,7.688311688311687,1.7402597402597402,1.4025974025974026,1.0909090909090908,0.18181818181818185,0.4675324675324675,0.4415584415584416,0.9610389610389609,2013-14,regular season
John Wall,WAS,82,2980,8.792682926829269,20.597560975609763,5.780487804878049,3.0121951219512195,3.634146341463415,0.7560975609756098,1.3902439024390243,1.3658536585365857,1.6463414634146343,2013-14,regular season
Nicolas Batum,POR,82,2956,5.121951219512195,11.53658536585366,3.829268292682927,1.2926829268292683,2.073170731707317,0.5243902439024389,1.2317073170731707,0.3780487804878049,0.9146341463414634,2013-14,regular season
Damian Lillard,POR,82,2937,5.573170731707316,13.060975609756095,3.6585365853658534,1.9146341463414636,1.7682926829268293,0.5609756097560976,1.329268292682927,0.573170731707317,1.3414634146341464,2013-14,regular season
LeBron James,MIA,77,2902,6.337662337662338,15.012987012987013,4.0,2.3376623376623376,2.4285714285714284,0.5194805194805194,1.051948051948052,1.1688311688311688,1.1688311688311688,2013-14,regular season
Paul George,IND,80,2898,3.5375,7.875,2.7375,0.8,1.15,0.7,0.8875,0.2625,0.5375,2013-14,regular season
DeAndre Jordan,LAC,82,2871,0.902439024390244,2.024390243902439,0.6829268292682927,0.2195121951219512,0.4268292682926829,0.04878048780487805,0.2073170731707317,0.04878048780487805,0.17073170731707318,2013-14,regular season
Klay Thompson,GSW,81,2868,2.2345679012345685,5.037037037037037,1.6666666666666667,0.5679012345679012,1.0493827160493827,0.2962962962962963,0.32098765432098764,0.1851851851851852,0.382716049382716,2013-14,regular season
Blake Griffin,LAC,80,2864,3.8625,8.9125,2.675,1.1875,1.7375,0.2625,0.675,0.5625,0.625,2013-14,regular season
Kyle Lowry,TOR,79,2862,7.417721518987341,16.696202531645568,5.556962025316457,1.8607594936708858,2.7341772151898733,1.3291139240506329,1.4936708860759491,0.7721518987341772,1.0886075949367089,2013-14,regular season
Stephen Curry,GSW,78,2846,8.538461538461537,19.05128205128205,6.564102564102564,1.9743589743589745,4.217948717948718,1.1666666666666667,1.1794871794871795,0.6666666666666666,1.3076923076923077,2013-14,regular season
Joakim Noah,CHI,80,2820,5.3875,11.925,4.2375,1.15,2.4,0.45,1.3875,0.2625,0.8875,2013-14,regular season
Jeff Green,BOS,82,2805,1.6829268292682926,3.8780487804878048,1.170731707317073,0.5121951219512195,0.5365853658536586,0.12195121951219512,0.5121951219512195,0.1951219512195122,0.3170731707317073,2013-14,regular season
Gordon Hayward,UTA,77,2800,5.194805194805196,12.103896103896105,3.4805194805194803,1.7142857142857142,2.064935064935065,0.6493506493506493,0.7662337662337663,0.5454545454545454,1.1688311688311688,2013-14,regular season
Kevin Love,MIN,77,2797,4.428571428571429,9.597402597402596,3.6883116883116878,0.7402597402597403,2.4805194805194803,0.5714285714285714,0.6363636363636364,0.23376623376623376,0.5064935064935064,2013-14,regular season
Chandler Parsons,HOU,74,2783,4.027027027027027,9.391891891891893,2.689189189189189,1.337837837837838,2.0945945945945947,0.4324324324324325,0.16216216216216214,0.4189189189189189,0.9189189189189191,2013-14,regular season
Wesley Matthews,POR,82,2780,2.4024390243902443,5.426829268292684,1.7804878048780488,0.6219512195121951,0.7073170731707317,0.24390243902439024,0.8292682926829268,0.18292682926829268,0.4390243902439024,2013-14,regular season
James Harden,HOU,73,2778,6.109589041095893,14.287671232876713,4.0410958904109595,2.068493150684932,3.287671232876712,0.5342465753424658,0.2191780821917808,0.6849315068493149,1.3835616438356164,2013-14,regular season
Lance Stephenson,IND,78,2752,4.602564102564102,10.371794871794874,3.435897435897436,1.1666666666666667,1.5769230769230769,0.5256410256410257,1.3333333333333333,0.4743589743589744,0.6923076923076923,2013-14,regular season
Josh Smith,DET,77,2730,3.272727272727273,7.454545454545454,2.363636363636364,0.9090909090909092,1.8961038961038958,0.23376623376623376,0.23376623376623376,0.4935064935064935,0.4155844155844156,2013-14,regular season
Brandon Jennings,DET,80,2728,7.6125,16.525,6.3125,1.3,4.3,0.9625,1.05,0.5,0.8,2013-14,regular season
Trevor Ariza,WAS,77,2723,2.4805194805194803,5.6103896103896105,1.8311688311688312,0.6493506493506493,1.103896103896104,0.2207792207792208,0.5064935064935064,0.2207792207792208,0.42857142857142855,2013-14,regular season
