Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
Damian Lillard,POR,82,3167,6055,19.048780487804876,4.487804878048781,9.573170731707316,0.4687898089171975,2.256097560975609,6.134146341463414,0.36779324055666,0.3707414829659319,3.304878048780488,2.1219512195121952,6.853658536585367,3.6219512195121952,3.1463414634146343,0.2364130434782609,0.23835616438356164,0.5351351351351351,0.390527950310559,0.5199785046728972,0.5011645962732919,0.5401106500691563,0.07317073170731707,0.8658536585365854,0.09044585987261146,0.08536585365853659,0.013916500994035786,24.085057138724142,2012-13,regular season
Kevin Durant,OKC,81,3119,6075,28.14814814814815,7.3086419753086425,13.567901234567902,0.5386715195632393,1.7160493827160497,4.1234567901234565,0.4161676646706587,0.4174174174174174,8.382716049382717,6.567901234567901,8.049382716049383,4.111111111111111,1.037037037037037,0.4493243243243243,0.4618055555555556,0.7985611510791367,0.23307745987438935,0.4979642458100558,0.5586182833217027,0.6343906510851419,0.3950617283950617,0.5432098765432098,0.04003639672429481,0.0,0.0,29.840713137512783,2012-13,regular season
Monta Ellis,MIL,82,3076,6120,19.23170731707317,6.134146341463414,13.51219512195122,0.453971119133574,1.146341463414634,4.0,0.2865853658536585,0.2897196261682243,3.524390243902439,4.560975609756096,7.7073170731707314,2.451219512195122,0.9878048780487804,0.3717693836978131,0.3770161290322581,0.7127659574468085,0.22841225626740946,0.5132231442577031,0.44846796657381616,0.4897515527950311,0.17073170731707318,0.573170731707317,0.042418772563176894,0.0,0.0,26.20893838996193,2012-13,regular season
DeMar DeRozan,TOR,82,3013,5719,18.10975609756097,6.2682926829268295,13.548780487804878,0.4626462646264626,0.4146341463414634,1.4634146341463414,0.2833333333333333,0.288135593220339,4.329268292682927,6.609756097560974,5.926829268292682,1.0975609756097562,0.14634146341463414,0.5272373540856031,0.5387673956262425,0.8823529411764706,0.0974817221770918,0.4603185516680228,0.4589764419171405,0.5199579831932774,0.2682926829268293,0.9634146341463414,0.0711071107110711,0.012195121951219513,0.008333333333333333,24.189334562778548,2012-13,regular season
Kobe Bryant,LAL,78,3013,5935,27.35897435897436,7.769230769230768,15.230769230769232,0.5101010101010099,1.6923076923076923,5.217948717948718,0.32432432432432434,0.32754342431761785,6.7435897435897445,4.17948717948718,11.35897435897436,3.1538461538461537,1.9230769230769231,0.26897689768976896,0.27441077441077444,0.6212121212121212,0.25517241379310346,0.48154150409062296,0.5040752351097179,0.5648491265219693,0.3076923076923077,0.8717948717948718,0.057239057239057235,0.038461538461538464,0.00737100737100737,31.76332057697969,2012-13,regular season
James Harden,HOU,78,2985,6021,25.93589743589743,5.205128205128204,10.910256410256409,0.4770857814336075,2.2948717948717947,6.230769230769232,0.3683127572016461,0.36853002070393376,8.64102564102564,2.5128205128205128,7.897435897435898,3.2692307692307687,3.615384615384616,0.2413793103448276,0.2474747474747475,0.4748603351955307,0.3635003739715781,0.5345467366841711,0.5044876589379207,0.5922131147540983,0.2564102564102564,1.2692307692307692,0.1163337250293772,0.08974358974358974,0.01440329218106996,28.883033230859322,2012-13,regular season
Stephen Curry,GSW,78,2983,5919,22.897435897435894,4.538461538461538,10.1025641025641,0.4492385786802031,3.4871794871794872,7.6923076923076925,0.4533333333333333,0.4577702702702703,3.358974358974359,2.2820512820512815,6.794871794871796,6.4230769230769225,4.038461538461538,0.2514124293785311,0.2535612535612536,0.6139705882352942,0.4322766570605187,0.4928664249456127,0.5489913544668588,0.5810019518542615,0.07692307692307693,0.5256410256410257,0.05203045685279188,0.05128205128205128,0.006666666666666667,26.01431980906921,2012-13,regular season
Paul George,IND,79,2972,5558,17.430379746835445,4.0886075949367084,8.949367088607596,0.4568599717114569,2.151898734177215,5.936708860759492,0.3624733475479744,0.3655913978494624,2.79746835443038,3.59493670886076,4.582278481012659,5.39240506329114,1.0632911392405062,0.43962848297213625,0.4595469255663429,0.8352941176470589,0.39880952380952384,0.5237114102564102,0.4914965986394558,0.5283960092095165,0.35443037974683544,0.9240506329113924,0.10325318246110324,0.05063291139240506,0.008528784648187633,23.61583668419425,2012-13,regular season
Klay Thompson,GSW,82,2936,5803,16.573170731707318,3.6219512195121952,8.28048780487805,0.4374079528718704,2.573170731707317,6.414634146341463,0.4011406844106464,0.4034416826003824,1.6097560975609757,5.439024390243904,1.804878048780488,7.317073170731707,0.4024390243902439,0.7508417508417509,0.7636986301369864,0.9478672985781992,0.4365145228215768,0.5072401830282862,0.5091286307053942,0.5287937743190662,0.12195121951219512,0.4024390243902439,0.04860088365243005,0.03658536585365853,0.005703422053231939,21.878335112059766,2012-13,regular season
Jrue Holiday,PHI,78,2926,5583,17.73076923076923,5.94871794871795,13.346153846153848,0.4457252641690682,1.1666666666666667,3.1666666666666665,0.3684210526315789,0.3729508196721312,2.333333333333333,3.0,8.8974358974359,1.6538461538461535,1.8461538461538465,0.2521551724137931,0.26,0.4725274725274725,0.1917701863354037,0.4901919329696025,0.4662267080745342,0.4932239657631954,0.35897435897435903,0.9487179487179488,0.07108549471661864,0.02564102564102564,0.008097165991902834,26.44615143439411,2012-13,regular season
