"","season_name","season_type","player_name","team_name","gamesplayed","atrimassists","shortmidrangeassists","longmidrangeassists","corner3assists","arc3assists","fg2pct","fg3pct","nonheavefg3pct","ftsmade","ptsassisted2s","ptsunassisted2s","ptsassisted3s","ptsunassisted3s","assisted2spct","assisted3spct","fg3apct","shotqualityavg","tspct","ptsputbacks","fg2ablocked","fg2apctblocked","fg3ablocked","fg3apctblocked","usage","defftreboundpct","def2ptreboundpct","def3ptreboundpct","offftreboundpct","off2ptreboundpct","off3ptreboundpct","defatrimreboundpct","defshortmidrangereboundpct","deflongmidrangereboundpct","defarc3reboundpct","defcorner3reboundpct","offatrimreboundpct","offshortmidrangereboundpct","offlongmidrangereboundpct","offarc3reboundpct","offcorner3reboundpct","position","height","weight","cluster","d1","d2"
"1","2009-10","regular season","Kevin Durant","OKC",82,1.24390243902439,0.292682926829268,0.658536585365854,0.231707317073171,0.390243902439024,0.505694760820046,0.364672364672365,0.36676217765043,9.21951219512195,7.65853658536585,8.58536585365854,3.6219512195122,1.0609756097561,0.471471471471471,0.7734375,0.210431654676259,0.492163055222089,0.597101449275362,1.02439024390244,0.780487804878049,0.0485952923310554,0.0365853658536585,0.00854700854700855,31.6232243828438,0.160804020100503,0.161079669133653,0.167146974063401,0.0112359550561798,0.0385487528344671,0.0279503105590062,0.113207547169811,0.165366614664587,0.207920792079208,0.175471698113208,0.140243902439024,0.0671328671328671,0.0296684118673648,0.0218102508178844,0.0351966873706004,0.0062111801242236,"F-G",2.10312,240,"3",0.348243944805556,5.50584867656453
"2","2009-10","regular season","Andre Iguodala","PHI",82,2.63414634146341,0.878048780487805,1.18292682926829,0.390243902439024,0.670731707317073,0.492044063647491,0.31023102310231,0.31864406779661,3.84146341463415,4.07317073170732,5.73170731707317,2.78048780487805,0.658536585365854,0.415422885572139,0.808510638297872,0.270535714285714,0.501160171017102,0.526296018031555,0.390243902439024,0.378048780487805,0.0379436964504284,0.024390243902439,0.0066006600660066,21.8296711187706,0.21195652173913,0.144560357675112,0.165957446808511,0.0123456790123457,0.0265567765567766,0.0344287949921753,0.114441416893733,0.151750972762646,0.168627450980392,0.175196850393701,0.142131979695431,0.0381791483113069,0.0234009360374415,0.0197215777262181,0.0342612419700214,0.0348837209302326,"F-G",2.01168,215,"3",1.92566512391852,3.64042479434333
"3","2009-10","regular season","Rudy Gay","MEM",80,0.8625,0.3375,0.3375,0.175,0.2,0.491712707182321,0.326732673267327,0.33502538071066,3.7625,4.8,8.55,2.2125,0.2625,0.359550561797753,0.893939393939394,0.156832298136646,0.495408424336974,0.53263086335826,0.8,1.1375,0.0837937384898711,0.0125,0.00495049504950495,22.7392693429643,0.158823529411765,0.12149055640633,0.1134401972873,0.0217391304347826,0.0389221556886228,0.0381526104417671,0.0853658536585366,0.10838445807771,0.166666666666667,0.108910891089109,0.126829268292683,0.0465393794749403,0.0427586206896552,0.0270967741935484,0.0405063291139241,0.029126213592233,"F",2.07264,230,"1",0.751010360083216,2.34404319266582
"4","2009-10","regular season","Stephen Jackson","CHA",81,2.46913580246914,0.283950617283951,0.37037037037037,0.209876543209877,0.37037037037037,0.459512195121951,0.32824427480916,0.33419689119171,4.17283950617284,4.83950617283951,6.79012345679012,3.59259259259259,1.18518518518519,0.416135881104034,0.751937984496124,0.277150916784203,0.507726418439716,0.511036174126303,0.444444444444444,1.19753086419753,0.0946341463414634,0.0246913580246914,0.00508905852417303,27.4596833851161,0.110429447852761,0.103726082578046,0.123904881101377,0.0103626943005181,0.0330284552845528,0.0175718849840256,0.079343365253078,0.0936254980079681,0.134130146082337,0.118067978533095,0.1375,0.0476190476190476,0.0259433962264151,0.0206896551724138,0.0202247191011236,0.0110497237569061,"F-G",2.07264,218,"3",2.50009315650141,3.07485790098325
"5","2009-10","regular season","Gerald Wallace","CHA",76,1.06578947368421,0.210526315789474,0.302631578947368,0.0789473684210526,0.460526315789474,0.503113325031133,0.371428571428571,0.37410071942446,5.55263157894737,6.02631578947368,4.60526315789474,2.01315789473684,0.0394736842105263,0.566831683168317,0.980769230769231,0.148462354188759,0.546564437367304,0.581863979848867,0.684210526315789,1.39473684210526,0.13200498132005,0,0,20.5714285714286,0.408805031446541,0.209568382735309,0.177997527812114,0.0317460317460317,0.0519612837493632,0.0639269406392694,0.140472878998609,0.222466960352423,0.268,0.174067495559503,0.186991869918699,0.0571761960326721,0.054590570719603,0.0440967283072546,0.0612691466083151,0.07,"F",2.04216,215,"2",-2.76026711498427,2.92099483459172
"6","2009-10","regular season","O.J. Mayo","MEM",82,1.60975609756098,0.317073170731707,0.451219512195122,0.231707317073171,0.341463414634146,0.490338164251208,0.383098591549296,0.39193083573487,2.58536585365854,4.65853658536585,5.24390243902439,4.0609756097561,0.914634146341463,0.470443349753695,0.816176470588235,0.300084530853762,0.51669633105802,0.545316070068545,0.292682926829268,0.695121951219512,0.0688405797101449,0.024390243902439,0.00563380281690141,20.6857466704449,0.032967032967033,0.0847723704866562,0.106631989596879,0,0.0236117184083953,0.0141987829614604,0.0705035971223022,0.058455114822547,0.115332428765265,0.113636363636364,0.0862944162436548,0.0313676286072773,0.027027027027027,0.0127064803049555,0.0130208333333333,0.018348623853211,"G",1.9812,210,"3",3.57796948590685,1.00084400956519
"7","2009-10","regular season","Zach Randolph","MEM",81,0.962962962962963,0.234567901234568,0.111111111111111,0.111111111111111,0.419753086419753,0.496105919003115,0.288461538461538,0.311111111111111,4.46913580246914,7.38271604938272,8.34567901234568,0.444444444444444,0.111111111111111,0.469387755102041,0.8,0.0389221556886228,0.493564231927711,0.544718081659106,3.03703703703704,1.48148148148148,0.0934579439252336,0.0123456790123457,0.0192307692307692,24.6851020703634,0.343949044585987,0.227467811158798,0.190860215053763,0.0469483568075117,0.123996431757359,0.0884210526315789,0.225475841874085,0.290870488322718,0.187323943661972,0.202554744525547,0.158163265306122,0.1625,0.123711340206186,0.0838794233289646,0.0860215053763441,0.0970873786407767,"C-F",2.10312,260,"2",-6.43941618611721,4.89729076314644
"8","2009-10","regular season","Jeff Green","OKC",82,0.439024390243902,0.24390243902439,0.48780487804878,0.170731707317073,0.292682926829268,0.502638522427441,0.333333333333333,0.335483870967742,2.01219512195122,4.19512195121951,5.09756097560976,3.80487804878049,0,0.451443569553806,1,0.291588785046729,0.513043352059925,0.532216494845361,1,0.536585365853659,0.0580474934036939,0,0,19.2953768396016,0.261627906976744,0.117142857142857,0.133435582822086,0.00602409638554217,0.0446601941747573,0.0309446254071661,0.116865869853918,0.134551495016611,0.103355704697987,0.139630390143737,0.115151515151515,0.0553892215568862,0.0547445255474453,0.0296208530805687,0.0374449339207049,0.0125,"F",2.10312,235,"1",0.42514832110558,0.263843867383811
"9","2009-10","regular season","Dirk Nowitzki","DAL",81,0.864197530864197,0.333333333333333,0.444444444444444,0.234567901234568,0.814814814814815,0.486545454545455,0.421487603305785,0.421487603305785,6.61728395061728,9.7037037037037,6.81481481481482,1.85185185185185,0.037037037037037,0.587443946188341,0.980392156862745,0.0808823529411765,0.442022140468227,0.566201117318436,0.444444444444444,0.617283950617284,0.0363636363636364,0,0,28.8787185354691,0.352272727272727,0.173178967679691,0.163911845730028,0.0192307692307692,0.0269475747182754,0.037037037037037,0.138662316476346,0.1875,0.187793427230047,0.167272727272727,0.153409090909091,0.0367892976588629,0.0233333333333333,0.0225385527876631,0.0258064516129032,0.0705128205128205,"F",2.1336,245,"3",-0.714254275704634,4.21289115358488
"10","2009-10","regular season","David Lee","NYK",81,1.07407407407407,0.172839506172839,0.567901234567901,0.333333333333333,1.49382716049383,0.5488,0,0,3.30864197530864,10.8148148148148,6.12345679012346,0,0,0.638483965014577,0,0.00635930047694754,0.495049045346062,0.586552217453505,1.85185185185185,1.27160493827161,0.0824,0.0246913580246914,0.25,23.881271658882,0.468208092485549,0.241237113402062,0.238227146814404,0.0229007633587786,0.086858432036097,0.0708582834331337,0.20709219858156,0.294589178356713,0.237771739130435,0.255009107468124,0.184971098265896,0.118721461187215,0.0865921787709497,0.0593667546174143,0.0723350253807107,0.0654205607476635,"F",2.10312,245,"2",-6.42111171543716,5.91925487747946
