Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
ATL,82,25.609756097561,60.1219512195122,16.7073170731707,8.90243902439024,10.4268292682927,2.25609756097561,4.02439024390244,2.42682926829268,6.47560975609756,2015-16,regular season
CHA,82,21.6829268292683,52.3292682926829,12.7195121951219,8.96341463414634,7.46341463414634,2.28048780487805,2.97560975609756,2.04878048780488,6.91463414634146,2015-16,regular season
MEM,82,20.6951219512195,46.6829268292683,15.4024390243902,5.29268292682927,7.80487804878049,3.08536585365854,4.51219512195122,1.57317073170732,3.71951219512195,2015-16,regular season
WAS,82,24.4512195121951,56.4512195121951,16.9024390243902,7.54878048780488,9.71951219512195,3.0609756097561,4.1219512195122,2.30487804878049,5.24390243902439,2015-16,regular season
DET,82,19.4390243902439,46.1219512195122,12.1951219512195,7.24390243902439,7.32926829268293,2.86585365853658,2,2.47560975609756,4.76829268292683,2015-16,regular season
BOS,82,24.1585365853658,55.8292682926829,16.6463414634146,7.51219512195122,10.1585365853659,2.29268292682927,4.19512195121951,2,5.51219512195122,2015-16,regular season
HOU,82,22.2073170731707,52.9024390243903,13.7195121951219,8.48780487804878,10.5,2.21951219512195,1,3.30487804878049,5.18292682926829,2015-16,regular season
LAC,82,22.8414634146341,53.4756097560976,15.0487804878049,7.79268292682927,9.09756097560976,1.5,4.45121951219512,2.59756097560976,5.19512195121951,2015-16,regular season
LAL,82,18.0243902439024,41.7682926829268,12.3048780487805,5.71951219512195,6.80487804878049,2.18292682926829,3.31707317073171,1.40243902439024,4.31707317073171,2015-16,regular season
MIA,82,20.8414634146341,47.3170731707317,15.2073170731707,5.63414634146341,8.89024390243903,2.26829268292683,4.04878048780488,2.4390243902439,3.19512195121951,2015-16,regular season
MIL,82,23.109756097561,51.0365853658537,18.2926829268293,4.81707317073171,11.3536585365854,3.25609756097561,3.68292682926829,1.5609756097561,3.25609756097561,2015-16,regular season
MIN,82,23.3658536585366,51.4878048780488,18.609756097561,4.75609756097561,9.67073170731707,3.09756097560976,5.84146341463415,1.30487804878049,3.45121951219512,2015-16,regular season
