Name,GamesPlayed,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,season,season_type
DEN,82,7813,107.46341463414636,30.28048780487805,59.865853658536594,0.5058056630678346,8.073170731707316,20.780487804878053,0.3884976525821596,0.3922848664688428,22.68292682926829,30.09756097560976,30.463414634146343,21.182926829268293,3.0365853658536586,0.4969794603302457,0.533275713050994,0.8746223564954683,0.2576742779373961,0.5288897552819578,0.5256313322244065,0.5697659381869908,4.121951219512195,5.829268292682928,0.0973721735587696,0.12195121951219512,0.005868544600938967,2010-11,regular season
GSW,82,7839,103.3780487804878,31.292682926829272,64.60975609756098,0.48433371083427706,8.353658536585368,21.329268292682926,0.39165237278444825,0.3965217391304348,15.731707317073171,30.585365853658534,32.0,21.695121951219512,3.365853658536585,0.4886983632112237,0.5345268542199488,0.8656934306569343,0.2481907194550873,0.5101058257273247,0.509933304952462,0.5414537557485948,5.365853658536587,4.121951219512195,0.06379765949414873,0.17073170731707318,0.008004574042309892,2010-11,regular season
LAC,82,7640,98.64634146341464,30.51219512195122,61.89024390243903,0.4930049261083744,6.2560975609756095,18.52439024390244,0.3377221856484529,0.342456608811749,18.853658536585368,33.41463414634146,27.609756097560968,16.20731707317073,2.5609756097560976,0.5475619504396483,0.6091596265006669,0.8635477582846004,0.23036093418259024,0.5041981103322157,0.4961328480436761,0.5316114616193479,6.170731707317072,4.865853658536587,0.07862068965517241,0.06097560975609756,0.003291639236339697,2010-11,regular season
ORL,82,7493,99.20731707317071,26.65853658536585,52.536585365853654,0.5074280408542247,9.390243902439023,25.646341463414632,0.3661436043747028,0.3702455464612422,17.719512195121947,24.21951219512195,29.09756097560976,23.52439024390244,4.646341463414634,0.4542543458371455,0.5035496957403651,0.8350649350649351,0.328029948525971,0.5088731240188383,0.5211355482764001,0.5495136449608214,5.219512195121951,3.6463414634146334,0.06940575673166202,0.13414634146341464,0.005230622919638612,2010-11,regular season
SAC,82,7832,99.40243902439023,33.0,69.53658536585365,0.4745703262013329,5.219512195121951,15.573170731707316,0.3351605324980423,0.34242181234963914,17.743902439024392,31.68292682926829,34.31707317073171,13.75609756097561,1.9024390243902443,0.4800443458980044,0.5363336085879439,0.8785046728971962,0.1829775039403926,0.4919343182473335,0.479724888952572,0.5162781859640233,6.926829268292682,5.573170731707316,0.08014731673097159,0.08536585365853659,0.005481597494126861,2010-11,regular season
OKC,82,7744,104.84146341463415,31.451219512195124,63.487804878048784,0.4953899346907414,5.939024390243902,17.109756097560975,0.3471133285816108,0.3501440922190201,24.121951219512194,30.707317073170728,32.19512195121951,15.109756097560975,2.7073170731707314,0.4881737107405971,0.537345283824157,0.8480492813141683,0.2122862762899077,0.5090602867546655,0.5007565441065214,0.5560802069857698,5.7560975609756095,4.243902439024391,0.06684594698424895,0.0975609756097561,0.005702066999287242,2010-11,regular season
TOR,82,7637,99.07317073170731,34.134146341463406,69.07317073170732,0.4941737288135593,4.2073170731707314,13.304878048780491,0.3162236480293309,0.3202614379084967,18.182926829268293,36.439024390243894,31.82926829268293,11.01219512195122,1.6097560975609757,0.5337620578778135,0.5783972125435539,0.8724637681159421,0.1615099925980755,0.5017106972940827,0.4909696521095485,0.5298721627967651,5.2682926829268295,5.402439024390246,0.0782132768361582,0.15853658536585366,0.011915673693858844,2010-11,regular season
UTA,82,7536,99.42682926829269,32.060975609756106,65.04878048780488,0.4928758905136858,5.3048780487804885,15.317073170731707,0.3463375796178344,0.3511326860841424,19.390243902439025,37.707317073170735,26.414634146341466,13.719512195121947,2.1951219512195124,0.5880562951692658,0.6375257731958763,0.8620689655172413,0.1905918057663126,0.4959093373952779,0.4979514415781487,0.5411522633744856,4.975609756097562,4.926829268292684,0.07574053243344582,0.08536585365853659,0.005573248407643312,2010-11,regular season
MEM,82,7562,99.93902439024393,35.25609756097561,71.64634146341461,0.4920851063829787,3.768292682926829,11.292682926829267,0.3336933045356372,0.34448160535117056,18.121951219512194,34.41463414634146,36.09756097560975,10.24390243902439,1.0609756097560976,0.4880664130058803,0.5418586789554531,0.906148867313916,0.13615644758123804,0.4964574922417615,0.4932362887810616,0.5310393986521513,7.0,6.1097560975609735,0.08527659574468087,0.04878048780487805,0.0043196544276457895,2010-11,regular season
HOU,82,7803,105.91463414634147,30.402439024390244,62.585365853658544,0.4857755261106781,8.25609756097561,22.47560975609756,0.3673358654367879,0.3709589041095889,20.341463414634145,33.634146341463406,27.170731707317074,21.07317073170732,3.6951219512195115,0.5531488166867228,0.6061538461538462,0.8508124076809453,0.2642293906810036,0.5067051582733813,0.5030107526881721,0.5460890342052314,5.317073170731708,5.2560975609756095,0.08398285268901014,0.2195121951219512,0.009766684753119913,2010-11,regular season
LAL,82,7493,101.47560975609757,31.756097560975608,64.26829268292683,0.4941176470588236,6.3902439024390265,18.134146341463413,0.3523873570948218,0.3577793008910212,18.79268292682927,33.46341463414634,30.04878048780488,15.695121951219509,3.475609756097561,0.5268817204301075,0.5816023738872403,0.8187022900763359,0.22006807754920826,0.4891857217261905,0.5017019387302057,0.5437851261273037,5.975609756097561,4.402439024390244,0.06850094876660341,0.13414634146341464,0.007397444519166106,2010-11,regular season
