Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
DEN,82,22.10975609756097,51.28048780487804,15.048780487804878,7.060975609756098,10.109756097560977,1.3536585365853657,3.5853658536585367,2.3902439024390243,4.670731707317073,2010-11,regular season
GSW,82,22.52439024390244,52.28048780487804,15.292682926829267,7.23170731707317,8.597560975609756,2.0853658536585367,4.609756097560974,2.6829268292682933,4.548780487804878,2010-11,regular season
LAC,82,22.10975609756097,49.621951219512205,16.70731707317073,5.402439024390245,10.51219512195122,2.0975609756097557,4.097560975609756,1.5975609756097562,3.804878048780488,2010-11,regular season
ORL,82,19.951219512195124,47.74390243902439,12.109756097560975,7.8414634146341475,6.975609756097561,2.0121951219512195,3.1219512195121952,2.3292682926829267,5.512195121951219,2010-11,regular season
SAC,82,20.42682926829268,45.4390243902439,15.841463414634148,4.585365853658536,8.060975609756097,2.731707317073171,5.048780487804878,1.7926829268292683,2.7926829268292686,2010-11,regular season
OKC,82,20.390243902439025,45.8170731707317,15.353658536585364,5.036585365853658,8.536585365853659,1.6341463414634143,5.182926829268292,1.2073170731707317,3.829268292682927,2010-11,regular season
TOR,82,21.89024390243902,47.45121951219512,18.219512195121947,3.670731707317073,9.707317073170731,2.7195121951219514,5.7926829268292686,1.0365853658536586,2.6341463414634148,2010-11,regular season
UTA,82,23.42682926829268,51.426829268292686,18.853658536585368,4.573170731707316,9.573170731707316,2.9390243902439024,6.3414634146341475,1.0731707317073171,3.5,2010-11,regular season
MEM,82,20.621951219512194,44.65853658536585,17.20731707317073,3.414634146341464,9.304878048780488,3.231707317073171,4.670731707317073,1.1829268292682926,2.231707317073171,2010-11,regular season
HOU,82,23.84146341463415,54.707317073170735,16.817073170731707,7.024390243902439,8.451219512195122,3.097560975609756,5.2682926829268295,2.024390243902439,5.0,2010-11,regular season
LAL,82,21.963414634146343,49.15853658536585,16.73170731707317,5.2317073170731705,9.085365853658537,3.182926829268293,4.463414634146342,2.0365853658536586,3.1951219512195124,2010-11,regular season
MIA,82,19.98780487804878,45.4390243902439,14.524390243902438,5.463414634146342,6.829268292682928,1.5365853658536586,6.1585365853658525,2.475609756097561,2.9878048780487805,2010-11,regular season
MIL,82,18.841463414634145,42.878048780487795,13.646341463414636,5.1951219512195115,6.2073170731707314,2.1219512195121952,5.317073170731708,2.0609756097560976,3.1341463414634148,2010-11,regular season
MIN,82,20.121951219512194,45.84146341463415,14.524390243902438,5.597560975609755,7.317073170731707,3.1463414634146343,4.060975609756096,1.6829268292682926,3.9146341463414633,2010-11,regular season
NJN,82,21.01219512195122,46.54878048780488,16.48780487804878,4.524390243902438,6.621951219512195,3.829268292682927,6.036585365853658,1.5243902439024388,3.0,2010-11,regular season
NYK,82,21.42682926829268,50.512195121951216,13.768292682926829,7.6585365853658525,8.231707317073171,1.6585365853658536,3.8780487804878048,2.902439024390244,4.7560975609756095,2010-11,regular season
IND,82,19.646341463414632,45.65853658536585,13.280487804878051,6.365853658536586,7.109756097560974,1.804878048780488,4.365853658536587,1.5975609756097562,4.7682926829268295,2010-11,regular season
PHI,82,22.695121951219512,49.878048780487795,18.20731707317073,4.487804878048781,8.585365853658537,3.463414634146341,6.1585365853658525,1.5365853658536586,2.9512195121951224,2010-11,regular season
PHX,82,23.71951219512195,54.865853658536594,16.29268292682927,7.426829268292682,9.146341463414632,2.6463414634146343,4.5,2.414634146341464,5.012195121951219,2010-11,regular season
POR,82,21.170731707317074,48.24390243902439,15.268292682926829,5.902439024390245,8.926829268292684,1.548780487804878,4.7926829268292686,2.292682926829268,3.609756097560976,2010-11,regular season
SAS,82,22.39024390243902,51.95121951219512,15.219512195121949,7.170731707317072,7.804878048780488,2.9390243902439024,4.475609756097562,3.256097560975609,3.9146341463414633,2010-11,regular season
WAS,82,19.414634146341463,43.085365853658544,15.158536585365852,4.2560975609756095,7.475609756097561,2.451219512195122,5.2317073170731705,1.5121951219512195,2.7439024390243905,2010-11,regular season
ATL,82,21.97560975609756,49.35365853658536,16.573170731707318,5.402439024390245,7.292682926829267,2.0975609756097557,7.182926829268293,2.268292682926829,3.1341463414634148,2010-11,regular season
DET,82,21.097560975609763,47.32926829268293,15.96341463414634,5.134146341463413,8.536585365853659,2.292682926829268,5.134146341463413,2.1829268292682933,2.9512195121951224,2010-11,regular season
CHA,82,21.07317073170732,46.26829268292683,16.951219512195124,4.121951219512195,8.682926829268293,2.0853658536585367,6.182926829268293,0.9634146341463414,3.1585365853658534,2010-11,regular season
BOS,82,23.42682926829268,51.24390243902439,19.036585365853654,4.390243902439025,10.402439024390244,2.109756097560976,6.524390243902439,1.6585365853658536,2.731707317073171,2010-11,regular season
CLE,82,20.97560975609756,47.207317073170735,15.719512195121949,5.2560975609756095,8.341463414634148,2.5975609756097557,4.780487804878049,1.548780487804878,3.7073170731707314,2010-11,regular season
NOH,82,20.621951219512194,45.914634146341456,15.951219512195122,4.670731707317073,6.987804878048781,2.609756097560976,6.353658536585367,1.7560975609756098,2.914634146341464,2010-11,regular season
CHI,82,22.28048780487805,49.9390243902439,16.902439024390244,5.378048780487805,8.975609756097562,2.0853658536585367,5.8414634146341475,1.7195121951219512,3.6585365853658534,2010-11,regular season
DAL,82,23.82926829268293,54.78048780487804,16.70731707317073,7.121951219512195,7.987804878048781,2.658536585365854,6.060975609756098,2.524390243902439,4.597560975609756,2010-11,regular season
