Name,GamesPlayed,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
DEN,82,50.0,35.18292682926829,2.804878048780488,0.8949416342412452,22.68292682926829,0.6891441274546128,9.695121951219512,0.7416044776119403,0.7040572792362768,14.817073170731707,0.6219512195121951,0.17770034843205576,10.378048780487807,0.32567929582854954,3.817073170731707,0.2617056856187291,0.3055920189025991,0.6038961038961039,0.6880189798339265,0.7746781115879828,0.739294710327456,0.7482014388489209,0.4066736183524505,0.3151010701545779,0.24108241082410825,0.25410733844468786,0.2862190812720848,2013-14,regular season
MIL,82,45.78048780487804,31.57317073170732,2.475609756097561,0.8285714285714286,19.390243902439025,0.6611226611226612,9.707317073170731,0.7439252336448599,0.6866187050359712,14.207317073170733,0.3170731707317073,0.1145374449339207,10.890243902439025,0.3263888888888889,3.0,0.25413223140495866,0.3075053995680346,0.5662650602409639,0.6798825256975036,0.752157829839704,0.7493438320209974,0.7305194805194806,0.4318407960199005,0.31086142322097376,0.2258064516129032,0.2493606138107417,0.27419354838709675,2013-14,regular season
PHI,82,47.6829268292683,33.21951219512195,2.975609756097561,0.8299319727891157,19.92682926829268,0.6805497709287797,10.317073170731707,0.7079497907949791,0.6896551724137931,14.46341463414634,0.5487804878048781,0.1601423487544484,10.51219512195122,0.3129992737835875,3.402439024390244,0.2292522596548891,0.2873331654495089,0.5752314814814815,0.6860282574568289,0.7777777777777778,0.7162790697674418,0.6865671641791045,0.37550689375506896,0.3187571921749137,0.18711656441717792,0.23227132579650564,0.21721311475409835,2013-14,regular season
PHX,82,47.036585365853654,33.853658536585364,2.6951219512195124,0.8911290322580645,21.731707317073173,0.6801526717557251,9.426829268292684,0.7519455252918288,0.7003837719298246,13.182926829268293,0.35365853658536583,0.12236286919831225,8.926829268292684,0.31175468483816016,3.902439024390244,0.257856567284448,0.2931178601281694,0.6094276094276094,0.6603325415676959,0.7700112739571591,0.7712082262210797,0.6920000000000001,0.4125,0.2982005141388175,0.2207792207792208,0.25027563395810365,0.27844311377245506,2013-14,regular season
POR,82,51.19512195121951,36.060975609756106,2.0853658536585367,0.8423645320197044,25.207317073170728,0.6987829614604463,8.768292682926829,0.7875136911281491,0.7197106690777577,15.134146341463413,0.32926829268292684,0.14210526315789473,10.280487804878051,0.32410611303344866,4.524390243902438,0.297514033680834,0.31548856548856546,0.6117533718689788,0.6908108108108109,0.7969849246231155,0.7878787878787878,0.7860962566844921,0.3624841571609633,0.36933333333333335,0.26365348399246696,0.2903575297941495,0.3179012345679013,2013-14,regular season
TOR,82,47.073170731707314,33.18292682926829,2.8536585365853657,0.8731343283582089,21.439024390243897,0.6851130163678878,8.890243902439027,0.7601668404588112,0.705531914893617,13.890243902439025,0.5487804878048781,0.1948051948051948,9.878048780487807,0.3270084779975777,3.463414634146341,0.247171453437772,0.3017098731384445,0.6104783599088838,0.6706161137440758,0.7772511848341233,0.7706293706293706,0.7295081967213115,0.4243697478991597,0.34499396863691195,0.2366167023554604,0.234375,0.2807570977917981,2013-14,regular season
UTA,82,45.24390243902439,32.19512195121951,2.3902439024390243,0.8558951965065502,20.914634146341463,0.6932093775262732,8.890243902439027,0.7771855010660981,0.716295427901524,13.048780487804878,0.3170731707317073,0.11403508771929825,9.573170731707316,0.29859262076835297,3.1585365853658534,0.26564102564102565,0.28967813540510545,0.5961768219832736,0.6857142857142857,0.7935409457900807,0.7631578947368421,0.8240740740740741,0.4106463878326996,0.30595238095238103,0.204,0.2540540540540541,0.3021276595744681,2013-14,regular season
MEM,82,47.0,32.865853658536594,1.9390243902439024,0.8784530386740331,21.280487804878053,0.7184026348291478,9.646341463414632,0.7511870845204178,0.7283170591614015,14.134146341463413,0.25609756097560976,0.09859154929577464,11.5,0.3336871903750885,2.3780487804878048,0.2838427947598253,0.32393965271847425,0.6513761467889908,0.6944099378881987,0.8002322880371661,0.7622641509433963,0.7170542635658915,0.4411428571428572,0.3182711198428291,0.2497320471596999,0.2691511387163561,0.3186274509803921,2013-14,regular season
WAS,82,45.97560975609756,33.19512195121951,2.158536585365854,0.8676470588235294,20.902439024390247,0.7097308488612837,10.134146341463415,0.7575205104831358,0.7246583143507973,12.780487804878051,0.3780487804878049,0.14553990610328638,9.03658536585366,0.2794117647058824,3.365853658536585,0.2768304914744233,0.27870649493011784,0.6047120418848168,0.7006711409395974,0.8057395143487859,0.7666666666666667,0.7276264591439688,0.3391655450874832,0.28435374149659864,0.2385008517887564,0.2781844802342606,0.2738853503184713,2013-14,regular season
DET,82,49.74390243902439,32.634146341463406,2.6463414634146343,0.8714859437751004,20.036585365853654,0.6871601840234212,9.951219512195124,0.7195767195767195,0.6975886524822695,17.109756097560975,0.8170731707317073,0.18256130790190736,12.719512195121949,0.3676418752203031,3.5731707317073167,0.28952569169960474,0.3471031436736815,0.6357308584686775,0.6735537190082644,0.7546699875466999,0.7331730769230769,0.6821192052980133,0.4434222631094756,0.39301801801801795,0.2459396751740139,0.2910737386804657,0.2845188284518829,2013-14,regular season
